paper_doi,review_covered,ref_year,device_structure,built_in_asymmetry,asymmetry_origin,primary_mobile_ion,secondary_ion_present,secondary_mobile_ion,ion_origin,auxiliary_redox_present,continuous_output,water_interaction_mode,rh_percent,inorganic_electrolyte_present,inorganic_electrolyte_type,inorganic_electrolyte_concentration_wt%,polyelectrolyte_present,active_material_raw,material_class,structure_class,ionic_groups,top_electrode,bottom_electrode,electrode_symmetry,metal_electrode,voc_V,jsc_uA_cm2,power_density_uW_cm2,internal_resistance_Mohm,output_timescale_class,stability_time_min,dominant_mechanism,has_anionic,has_cationic,has_zwitterionic,polyelectrolyte_anionic_raw,polyelectrolyte_cationic_raw,polyelectrolyte_zwitterionic_raw,has_any_polyelectrolyte,estimated_power_density_uW_cm2,log_estimated_power_density,ion_type,mechanism_simple,asym_env,asym_chem,asym_electrode,ion_from_material,ion_from_electrolyte,ion_from_water,log_internal_resistance_Mohm,has_internal_resistance
10.1038/nnano.2016.300,1,2017,in-plane,0,environmental_gradient,H+,0,,surface_group_dissociation,0,1,evaporation_driven,60.0,0,,,0,Carbon Black (CB),carbon,porous,"carboxyl, hydroxyl",CNT,CNT,1,0.0,1.0,0.015,0.0053,8.0,days,11520.0,streaming,0,0,0,,,,0,0.00375,-2.425852935849277,proton,streaming,1,0,0,1,0,0,0.9030899869919435,1
10.1021/acsaelm.9b00419,1,2019,in-plane,0,environmental_gradient,OH-,1,H+,water_dissociation,0,1,evaporation_driven,62.0,0,,,0,ZnO,metal oxide,porous,hydroxyl,Al,Al,1,1.0,0.4,0.02,0.002,34.3,hours,120.0,streaming,0,0,0,,,,0,0.002,-2.6987529113637887,anion,streaming,1,0,0,0,0,1,1.5352941200427705,1
10.1002/adma.202514202,0,2026,in-plane,1,chemical + environmental,OH-,1,H+,water_dissociation,0,1,evaporation_driven,,0,,,0,lanthanum iron perovskite oxide,semiconductor,porous,hydroxyl,CNT,CNT,1,0.0,1.5,0.025,0.0094,60.0,days,12000.0,streaming,0,0,0,,,,0,0.009375,-2.0279824013259846,anion,streaming,1,1,0,0,0,1,1.7781512503836436,1
10.1016/j.joule.2022.02.002,1,2022,in-plane,0,environmental_gradient,H+,0,,surface_group_dissociation,0,1,evaporation_driven,,0,,,0,Carbon Black (CB),carbon,porous,"carboxyl, hydroxyl",CNT,CNT,1,0.0,0.85,0.0368,,,hours,720.0,streaming,0,0,0,,,,0,0.0078199999999999,-2.106737714112009,proton,streaming,1,0,0,1,0,0,,0
10.1016/j.ceramint.2023.05.033,0,2023,in-plane,0,environmental_gradient,H+,0,,surface_group_dissociation,0,1,evaporation_driven,55.0,0,,,0,carbonized rice husk,carbon,porous,"carboxyl, hydroxyl, silanol",CNT,CNT,1,0.0,0.16,0.04,,,hours,600.0,streaming,0,0,0,,,,0,0.0016,-2.7956086680807,proton,streaming,1,0,0,1,0,0,,0
10.1038/s44221-024-00311-9,1,2024,in-plane,1,electrode + environmental,H+,1,K+,surface_group_dissociation + electrolyte,0,1,evaporation_driven,45.0,0,,,0,Plant_Tissue,biomass,porous,"carboxyl, hydroxyl",Ti,Ti,0,1.0,0.25,0.05,0.0045,2.0,hours,2100.0,ion_concentration_gradient,0,0,0,,,,0,0.003125,-2.505011026316832,proton,ion_gradient,1,0,1,1,1,0,0.3010299956639812,1
10.1016/j.nanoen.2019.02.011,1,2019,in-plane,0,environmental_gradient,H+,0,,surface_group_dissociation,0,1,evaporation_driven,,0,,,0,Carbon Black (CB),carbon,porous,"carboxyl, hydroxyl",CNT,CNT,1,0.0,5.0,0.06,,,seconds,30.0,streaming,0,0,0,,,,0,0.075,-1.1249329460538116,proton,streaming,1,0,0,1,0,0,,0
10.1016/j.nanoen.2019.05.079,1,2019,in-plane,0,environmental_gradient,H+,0,,surface_group_dissociation,0,1,evaporation_driven,,0,,,0,Carbon Black (CB),carbon,porous,"carboxyl, hydroxyl",Ag,Ag,1,1.0,1.0,0.1,,,days,2880.0,streaming,0,0,0,,,,0,0.025,-1.6020426198961126,proton,streaming,1,0,0,1,0,0,,0
10.1002/adfm.202104732,1,2021,in-plane,0,environmental_gradient,H+,0,,surface_group_dissociation,0,1,evaporation_driven,55.0,0,,,0,Cu(BDC-OH) (MOF),MOF/COF,porous,hydroxyl,Carbon,Carbon,1,0.0,0.6,0.12,0.00156,,days,7200.0,streaming,0,0,0,,,,0,0.018,-1.7447033680956598,proton,streaming,1,0,0,1,0,0,,0
10.1016/j.jmst.2020.11.002,1,2021,in-plane,0,environmental_gradient,H+,0,,water_dissociation,0,1,evaporation_driven,,0,,,0,TiO2,metal oxide,porous,hydroxyl,CNT,CNT,1,0.0,0.19,0.12,,,seconds,10.0,streaming,0,0,0,,,,0,0.0057,-2.244048958995868,proton,streaming,1,0,0,0,0,1,,0
10.1002/adma.202310260,1,2024,in-plane,0,environmental_gradient,H+,0,,surface_group_dissociation,0,1,evaporation_driven,,0,,,1,"Silk Fibroin (SF), Nylon-66",biomass,film,"carboxyl, hydroxyl",CNT,CNT,1,0.0,4.82,0.13,,,seconds,3.0,streaming,0,0,1,,,Silk Fibroin (SF),1,0.15665,-0.8050668284037524,proton,streaming,1,0,0,1,0,0,,0
10.1016/j.apmt.2023.101801,0,2023,in-plane,0,environmental_gradient,H+,0,,water_dissociation,0,1,evaporation_driven,,0,,,0,"SiO₂, glass fiber (GF) ",metal oxide,porous,silanol hydroxyl,Carbon,Carbon,1,0.0,1.4,0.133,0.0467,2.0,days,14400.0,streaming,0,0,0,,,,0,0.04655,-1.3320709851484356,proton,streaming,1,0,0,0,0,1,0.3010299956639812,1
10.1016/j.applthermaleng.2019.114623,1,2020,in-plane,0,environmental_gradient,H+,0,,surface_group_dissociation,0,1,evaporation_driven,55.0,0,,,0,Carbon Black (CB),carbon,porous,"carboxyl, hydroxyl",CNT,CNT,1,0.0,0.79,0.133,0.08,2.1,hours,240.0,streaming,0,0,0,,,,0,0.0262675,-1.580564725855803,proton,streaming,1,0,0,1,0,0,0.3222192947339193,1
10.1039/C8TA12328D,1,2019,in-plane,0,environmental_gradient,H+,0,,surface_group_dissociation,0,1,evaporation_driven,,0,,,0,"TiO2, Carbon",carbon,porous,"carboxyl, hydroxyl",Carbon,Carbon,1,0.0,1.6,0.17,,,days,11520.0,streaming,0,0,0,,,,0,0.068,-1.1674847006571667,proton,streaming,1,0,0,1,0,0,,0
10.1021/acsami.9b09582,1,2019,in-plane,0,environmental_gradient,H+,0,,water_dissociation,0,1,evaporation_driven,,0,,,0,Al2O3,metal oxide,porous,hydroxyl,Carbon,Carbon,1,0.0,2.5,0.18,,6.0,days,14400.0,streaming,0,0,0,,,,0,0.1124999999999999,-0.9488436171743811,proton,streaming,1,0,0,0,0,1,0.7781512503836436,1
10.1038/s41467-024-54216-y,0,2024,in-plane,1,chemical + environmental,H+,0,,surface_group_dissociation,0,1,evaporation_driven,100.0,0,,,1,PEI-modified carbon black / tissue paper,biomass,porous,"amino, hydroxyl ",Carbon,Carbon,1,0.0,0.16,0.2,0.00824,0.7,days,9600.0,streaming,0,1,0,,polyethyleneimine (PEI),,1,0.008,-2.096855729590461,proton,streaming,1,1,0,1,0,0,-0.1549019599857432,1
10.1002/aenm.201702481,1,2018,in-plane,0,environmental_gradient,H+,0,,surface_group_dissociation,0,1,evaporation_driven,70.0,0,,,0,Carbon Black (CB),carbon,porous,"carboxyl, hydroxyl",CNT,CNT,1,0.0,0.89,0.2,0.04,2.4,hours,180.0,streaming,0,0,0,,,,0,0.0445,-1.3516302297021636,proton,streaming,1,0,0,1,0,0,0.38021124171160603,1
