structure_class,log_P_est
porous,-2.425852935849277
porous,-2.6987529113637887
porous,-2.0279824013259846
porous,-2.106737714112009
porous,-2.7956086680807
porous,-2.505011026316832
porous,-1.1249329460538116
porous,-1.6020426198961126
porous,-1.7447033680956598
porous,-2.244048958995868
film,-0.8050668284037524
porous,-1.3320709851484356
porous,-1.580564725855803
porous,-1.1674847006571667
porous,-0.9488436171743811
porous,-2.096855729590461
porous,-1.3516302297021636
porous,-1.6575575789681631
porous,-1.1234155894264268
porous,-1.9585678353197349
porous,-1.1249329460538116
porous,-1.5228642690388767
porous,-0.8461820879855898
porous,-1.4629873008541796
porous,-0.6996741318941417
porous,-0.8239058456574236
porous,-1.2561689448723472
film,-1.2586435192376149
porous,-1.051826744841486
porous,-1.2022063603988264
porous,-1.1036722364925795
hydrogel,-0.9999956570768956
porous,-1.0457526650932398
porous,-0.9208151348467722
porous,-1.0915096194941762
porous,-0.6430166900243307
porous,-0.0115520833175728
porous,0.2730015036873995
porous,-0.8519343762392272
porous,0.4938066014591326
film,-0.6856039371129267
porous,-0.1031977515497815
porous,-0.0636742914344295
porous,0.1303340901945032
porous,-0.08354552503284
porous,-0.2084840861688702
porous,0.4313639250087656
porous,0.68536109405565
porous,0.2505727104835085
porous,0.024793833534066
porous,0.1461283458884714
porous,0.5130978195209875
porous,0.7172543960404865
porous,1.0856473239532165
porous,0.6733436035558605
porous,0.518514071482256
porous,0.4586380000845733
porous,1.0213051368432924
porous,0.8293038371709434
porous,1.215267369887282
porous,0.8826668698713812
porous,1.1972805856998712
porous,1.3424227005628642
porous,1.611192071499878
porous,1.208239776599343
film,1.3434086134997518
porous,2.9164539490763426
porous,-1.0974477852446545
porous,1.1760912880086458
porous,-2.8790971823854727
porous,-2.124880834537432
porous,-1.2819053934403335
porous,-1.4439569470300029
porous,-3.217527375833714
porous,-2.16742722515382
porous,-0.9140818078661233
film,-0.39793892293719
film,-0.2498767011382072
hydrogel,-0.3716100480815215
porous,-0.3625092698101124
porous,0.2125207909164396
porous,0.1606188724301003
porous,0.5012306171771781
porous,1.2588766533002014
porous,1.8920946082583583
hydrogel,-1.163827850638265
porous,-4.2839966563652006
porous,-3.3849710398487907
porous,-1.7308140671860484
porous,-3.1243600629958315
porous,-2.205790883653504
porous,-2.3159629625134803
porous,-2.2217763732339035
porous,-1.8348744309117715
porous,-2.8474059220725305
porous,-1.9999565727231368
porous,-1.8761157065399925
porous,-1.325588995834374
porous,-1.2309847368726377
porous,-0.9999956570768956
porous,-0.3362039359154635
film,-1.1249329460538116
porous,-0.924449389089342
porous,-0.7447250821562743
porous,-1.338816977303591
porous,-0.8239058456574236
porous,-0.7759825958319986
porous,-0.6839226676323439
film,-1.0457526650932398
porous,-1.1771718240019096
porous,-0.3716100480815215
porous,-0.4865147119229158
hydrogel,-0.0668919995997447
film,-0.3170421724868569
porous,-0.1249381575493767
hydrogel,0.0746339840184191
film,0.0330218471799269
hydrogel,0.0791816079595423
porous,-1.5281071486294195
hydrogel,-0.0979965644209375
porous,-0.2819128740320925
film,0.3978098745501945
porous,0.2091129720699776
hydrogel + porous,0.315550744428857
porous,0.3424228782287441
hydrogel,0.4548450123925122
hydrogel,0.386944802542633
porous,0.4490926855352072
film,0.7419391564057284
hydrogel,0.1639439505925984
porous,0.3064252420170452
porous,0.4382457565100884
porous,0.4393328517555001
porous,0.0128376463500955
hydrogel + film,1.0059094893370626
hydrogel,0.6434527751894676
hydrogel,0.0746339840184191
hydrogel + porous,0.7873542612984434
film,0.6000195587643682
hydrogel + porous,0.7732378200953514
porous,0.6720979503387888
porous,0.4791505966286419
hydrogel,0.7871061639417858
porous,0.8238002189103355
hydrogel + porous,1.2020794682786262
film,1.0711914087490777
film,0.977723651004054
porous,1.0969100477516136
film,1.3010300173787048
film,1.1383027297513335
film,1.3802112598072092
film,1.4525530785479546
hydrogel,1.8281441137549816
porous,2.1398790895482978
film,1.909823374996075
film,2.552059535406101
film,2.505149979677076
porous,0.6109289592680012
porous,-2.6062493596519194
