ion_type,log_P_est
proton,-2.425852935849277
anion,-2.6987529113637887
anion,-2.0279824013259846
proton,-2.106737714112009
proton,-2.7956086680807
proton,-2.505011026316832
proton,-1.1249329460538116
proton,-1.6020426198961126
proton,-1.7447033680956598
proton,-2.244048958995868
proton,-0.8050668284037524
proton,-1.3320709851484356
proton,-1.580564725855803
proton,-1.1674847006571667
proton,-0.9488436171743811
proton,-2.096855729590461
proton,-1.3516302297021636
proton,-1.6575575789681631
proton,-1.1234155894264268
other_cation,-1.9585678353197349
proton,-1.1249329460538116
proton,-1.5228642690388767
proton,-0.8461820879855898
proton,-1.4629873008541796
anion,-0.6996741318941417
proton,-0.8239058456574236
proton,-1.2561689448723472
proton,-1.2586435192376149
proton,-1.051826744841486
anion,-1.2022063603988264
proton,-1.1036722364925795
proton,-0.9999956570768956
proton,-1.0457526650932398
proton,-0.9208151348467722
proton,-1.0915096194941762
anion,-0.6430166900243307
proton,-0.0115520833175728
proton,0.2730015036873995
other_cation,-0.8519343762392272
proton,0.4938066014591326
proton,-0.6856039371129267
other_cation,-0.1031977515497815
proton,-0.0636742914344295
other_cation,0.1303340901945032
proton,-0.08354552503284
other_cation,-0.2084840861688702
other_cation,0.4313639250087656
proton,0.68536109405565
other_cation,0.2505727104835085
other_cation,0.024793833534066
other_cation,0.1461283458884714
other_cation,0.5130978195209875
proton,0.7172543960404865
proton,1.0856473239532165
other_cation,0.6733436035558605
other_cation,0.518514071482256
other_cation,0.4586380000845733
other_cation,1.0213051368432924
other_cation,0.8293038371709434
other_cation,1.215267369887282
proton,0.8826668698713812
other_cation,1.1972805856998712
other_cation,1.3424227005628642
proton,1.611192071499878
other_cation,1.208239776599343
anion,1.3434086134997518
other_cation,2.9164539490763426
other_cation,-1.0974477852446545
other_cation,1.1760912880086458
proton,-2.8790971823854727
anion,-2.124880834537432
proton,-1.2819053934403335
proton,-1.4439569470300029
proton,-3.217527375833714
other_cation,-2.16742722515382
proton,-0.9140818078661233
proton,-0.39793892293719
proton,-0.2498767011382072
other_cation,-0.3716100480815215
other_cation,-0.3625092698101124
proton,0.2125207909164396
other_cation,0.1606188724301003
other_cation,0.5012306171771781
other_cation,1.2588766533002014
other_cation,1.8920946082583583
other_cation,-1.163827850638265
proton,-4.2839966563652006
proton,-3.3849710398487907
proton,-1.7308140671860484
proton,-3.1243600629958315
proton,-2.205790883653504
proton,-2.3159629625134803
proton,-2.2217763732339035
proton,-1.8348744309117715
proton,-2.8474059220725305
proton,-1.9999565727231368
proton,-1.8761157065399925
proton,-1.325588995834374
proton,-1.2309847368726377
proton,-0.9999956570768956
anion,-0.3362039359154635
proton,-1.1249329460538116
proton,-0.924449389089342
proton,-0.7447250821562743
proton,-1.338816977303591
proton,-0.8239058456574236
other_cation,-0.7759825958319986
proton,-0.6839226676323439
proton,-1.0457526650932398
proton,-1.1771718240019096
proton,-0.3716100480815215
other_cation,-0.4865147119229158
proton,-0.0668919995997447
proton,-0.3170421724868569
proton,-0.1249381575493767
other_cation,0.0746339840184191
proton,0.0330218471799269
other_cation,0.0791816079595423
proton,-1.5281071486294195
proton,-0.0979965644209375
proton,-0.2819128740320925
proton,0.3978098745501945
other_cation,0.2091129720699776
other_cation,0.315550744428857
proton,0.3424228782287441
other_cation,0.4548450123925122
other_cation,0.386944802542633
proton,0.4490926855352072
proton,0.7419391564057284
anion,0.1639439505925984
proton,0.3064252420170452
proton,0.4382457565100884
other_cation,0.4393328517555001
other_cation,0.0128376463500955
proton,1.0059094893370626
other_cation,0.6434527751894676
other_cation,0.0746339840184191
other_cation,0.7873542612984434
other_cation,0.6000195587643682
other_cation,0.7732378200953514
other_cation,0.6720979503387888
other_cation,0.4791505966286419
other_cation,0.7871061639417858
other_cation,0.8238002189103355
other_cation,1.2020794682786262
proton,1.0711914087490777
proton,0.977723651004054
other_cation,1.0969100477516136
proton,1.3010300173787048
other_cation,1.1383027297513335
proton,1.3802112598072092
proton,1.4525530785479546
other_cation,1.8281441137549816
proton,2.1398790895482978
proton,1.909823374996075
proton,2.552059535406101
proton,2.505149979677076
proton,0.6109289592680012
other_cation,-2.6062493596519194
