rank,feature,encoded_feature,mean_abs_shap,n_rows_observed_R,holdout_random_state,analysis_subset,resistance_imputation
1,log(R),resistance__log_internal_resistance_Mohm,0.45994240835000894,112,42,common n=112 observed-R records,none
2,Other cation,cat__ion_type_other_cation,0.07190212103752831,112,42,common n=112 observed-R records,none
3,Top Electrode Cu,cat__top_electrode_Cu,0.051898048159730446,112,42,common n=112 observed-R records,none
4,Material Class Biomass,cat__material_class_biomass,0.050612741066864864,112,42,common n=112 observed-R records,none
5,Bottom Electrode Cu,cat__bottom_electrode_Cu,0.04978383816004232,112,42,common n=112 observed-R records,none
6,Film structure,cat__structure_class_film,0.049011968818037314,112,42,common n=112 observed-R records,none
7,Top Electrode Au,cat__top_electrode_Au,0.047250477170270776,112,42,common n=112 observed-R records,none
8,Proton,cat__ion_type_proton,0.046656611493033615,112,42,common n=112 observed-R records,none
9,Bottom Electrode Au,cat__bottom_electrode_Au,0.04071725353541626,112,42,common n=112 observed-R records,none
10,Material Class Polymer,cat__material_class_polymer,0.038176778010572864,112,42,common n=112 observed-R records,none
11,Metal Electrode,num__metal_electrode,0.035998419276070406,112,42,common n=112 observed-R records,none
12,Ion-gradient label,cat__mechanism_simple_ion_gradient,0.03331051958861936,112,42,common n=112 observed-R records,none
13,"Ionic Groups Carboxyl, Hydroxyl","cat__ionic_groups_carboxyl, hydroxyl",0.02648321079040736,112,42,common n=112 observed-R records,none
14,"Ionic Groups Carboxyl, Hydroxyl, Amino","cat__ionic_groups_carboxyl, hydroxyl, amino",0.025007355006801534,112,42,common n=112 observed-R records,none
15,Material Class Carbon,cat__material_class_carbon,0.024992702513638866,112,42,common n=112 observed-R records,none
16,Streaming label,cat__mechanism_simple_streaming,0.024101816074151985,112,42,common n=112 observed-R records,none
17,Ionic Groups Sulfonate,cat__ionic_groups_sulfonate,0.021449279529460057,112,42,common n=112 observed-R records,none
18,Inorganic Electrolyte Present,num__inorganic_electrolyte_present,0.017866274191429866,112,42,common n=112 observed-R records,none
19,Electrode Symmetry,num__electrode_symmetry,0.01665735527348436,112,42,common n=112 observed-R records,none
20,Porous structure,cat__structure_class_porous,0.013194638568306351,112,42,common n=112 observed-R records,none
21,Has Zwitterionic,num__has_zwitterionic,0.012449144930507127,112,42,common n=112 observed-R records,none
22,Structure Class Hydrogel,cat__structure_class_hydrogel,0.01202113269084064,112,42,common n=112 observed-R records,none
23,Top Electrode Pt,cat__top_electrode_Pt,0.011450155388260086,112,42,common n=112 observed-R records,none
24,Water Interaction Mode Evaporation Driven,cat__water_interaction_mode_evaporation_driven,0.010984351479314374,112,42,common n=112 observed-R records,none
25,Top Electrode Ti,cat__top_electrode_Ti,0.010941086207547553,112,42,common n=112 observed-R records,none
26,"Ionic Groups Hydroxyl, Ti-O, Sn-O ","cat__ionic_groups_hydroxyl, Ti-O, Sn-O ",0.010739048587101169,112,42,common n=112 observed-R records,none
27,Bottom Electrode Ag,cat__bottom_electrode_Ag,0.010624499173292572,112,42,common n=112 observed-R records,none
28,Material Class Others,cat__material_class_others,0.00991454280067691,112,42,common n=112 observed-R records,none
29,Has Anionic,num__has_anionic,0.009803596718833976,112,42,common n=112 observed-R records,none
30,Bottom Electrode Pt,cat__bottom_electrode_Pt,0.008088944555553564,112,42,common n=112 observed-R records,none
31,Ionic Groups Residual Hydrogen On Mos2,cat__ionic_groups_residual hydrogen on MoS2,0.007432188288428915,112,42,common n=112 observed-R records,none
32,Material Class Semiconductor,cat__material_class_semiconductor,0.007312853426657751,112,42,common n=112 observed-R records,none
33,Ionic Groups Hydroxyl,cat__ionic_groups_hydroxyl,0.0072253520953704025,112,42,common n=112 observed-R records,none
34,Bottom Electrode Ti,cat__bottom_electrode_Ti,0.006810371004230864,112,42,common n=112 observed-R records,none
35,Top Electrode Ag,cat__top_electrode_Ag,0.006795896392318134,112,42,common n=112 observed-R records,none
36,Water Interaction Mode Vapor Adsorption,cat__water_interaction_mode_vapor_adsorption,0.006517665943266203,112,42,common n=112 observed-R records,none
37,Built In Asymmetry,num__built_in_asymmetry,0.006088676586688424,112,42,common n=112 observed-R records,none
38,Bottom Electrode Carbon,cat__bottom_electrode_Carbon,0.0058869311629560425,112,42,common n=112 observed-R records,none
39,Has Cationic,num__has_cationic,0.005463500638182899,112,42,common n=112 observed-R records,none
40,Material Class Metal Oxide,cat__material_class_metal oxide,0.005423725555321875,112,42,common n=112 observed-R records,none
41,Top Electrode Carbon,cat__top_electrode_Carbon,0.005333965151985416,112,42,common n=112 observed-R records,none
42,Anion,cat__ion_type_anion,0.004759122875000385,112,42,common n=112 observed-R records,none
43,"Ionic Groups Carboxyl, Hydroxyl ","cat__ionic_groups_carboxyl, hydroxyl ",0.004623258707826264,112,42,common n=112 observed-R records,none
44,Water Interaction Mode Liquid Contact,cat__water_interaction_mode_liquid_contact,0.003861135344596009,112,42,common n=112 observed-R records,none
45,Ionic Groups Silanol ,cat__ionic_groups_silanol ,0.00367243316483242,112,42,common n=112 observed-R records,none
46,Top Electrode Cnt,cat__top_electrode_CNT,0.0035605330324744696,112,42,common n=112 observed-R records,none
47,"Ionic Groups Sulfonate, Hydroxyl","cat__ionic_groups_sulfonate, hydroxyl",0.0032719355655347047,112,42,common n=112 observed-R records,none
48,Bottom Electrode Cnt,cat__bottom_electrode_CNT,0.0032693367402398853,112,42,common n=112 observed-R records,none
49,"Ionic Groups Carboxyl, Hydroxyl, Sulfonate, Amino","cat__ionic_groups_carboxyl, hydroxyl, sulfonate, amino",0.0030800914525354254,112,42,common n=112 observed-R records,none
50,Bottom Electrode Al,cat__bottom_electrode_Al,0.002895583952140848,112,42,common n=112 observed-R records,none
51,Polyelectrolyte Present,num__polyelectrolyte_present,0.0028271152796389555,112,42,common n=112 observed-R records,none
52,Top Electrode Steel,cat__top_electrode_Steel,0.0027328162289548094,112,42,common n=112 observed-R records,none
53,Bottom Electrode Steel,cat__bottom_electrode_Steel,0.002682682174101666,112,42,common n=112 observed-R records,none
54,Ionic Groups Silanol Hydroxyl,cat__ionic_groups_silanol hydroxyl,0.002189109790660933,112,42,common n=112 observed-R records,none
55,"Ionic Groups Carboxyl, Quaternary Ammonium, Amino, Hydroxyl ","cat__ionic_groups_carboxyl, quaternary ammonium, amino, hydroxyl ",0.0019951998928885747,112,42,common n=112 observed-R records,none
56,Top Electrode Al,cat__top_electrode_Al,0.001985692678739368,112,42,common n=112 observed-R records,none
57,Ionic Groups Carboxyl,cat__ionic_groups_carboxyl,0.0019678016456467526,112,42,common n=112 observed-R records,none
58,"Ionic Groups Amino, Hydroxyl","cat__ionic_groups_amino, hydroxyl",0.0018144418137275428,112,42,common n=112 observed-R records,none
59,"Ionic Groups Imidazole, Sulfonate, Carboxyl, Hydroxyl","cat__ionic_groups_imidazole, sulfonate, carboxyl, hydroxyl",0.0014914419322371191,112,42,common n=112 observed-R records,none
60,"Ionic Groups Hydroxyl, Carboxyl, Amino","cat__ionic_groups_hydroxyl, carboxyl, amino",0.0014215839958127627,112,42,common n=112 observed-R records,none
61,"Ionic Groups Carboxyl, Hydroxyl, Amino ","cat__ionic_groups_carboxyl, hydroxyl, amino ",0.001419418243242572,112,42,common n=112 observed-R records,none
62,"Ionic Groups Silanol, Carboxyl, Hydroxyl","cat__ionic_groups_silanol, carboxyl, hydroxyl",0.0014149384780453623,112,42,common n=112 observed-R records,none
63,Material Class Mof/Cof,cat__material_class_MOF/COF,0.0012988984115657293,112,42,common n=112 observed-R records,none
64,"Ionic Groups Hydroxyl, Carboxyl, Amino ","cat__ionic_groups_hydroxyl, carboxyl, amino ",0.0012581103537783792,112,42,common n=112 observed-R records,none
65,"Ionic Groups Sulfonate, Quaternary Ammonium, Hydroxyl ","cat__ionic_groups_sulfonate, quaternary ammonium, hydroxyl ",0.001201319941023107,112,42,common n=112 observed-R records,none
66,"Ionic Groups Carboxyl, Hydroxyl, Sulfonate","cat__ionic_groups_carboxyl, hydroxyl, sulfonate",0.0009568408117542691,112,42,common n=112 observed-R records,none
67,"Ionic Groups Carboxyl, Quaternary Ammonium, Amide ","cat__ionic_groups_carboxyl, quaternary ammonium, amide ",0.0008774894885430495,112,42,common n=112 observed-R records,none
68,"Ionic Groups Sulfonate, Amino","cat__ionic_groups_sulfonate, amino",0.000786826544622763,112,42,common n=112 observed-R records,none
69,"Ionic Groups Sulfonate, Carboxyl, Hydroxyl ","cat__ionic_groups_sulfonate, carboxyl, hydroxyl ",0.0006003090991630017,112,42,common n=112 observed-R records,none
70,Structure Class Hydrogel + Porous,cat__structure_class_hydrogel + porous,0.0005406823120581742,112,42,common n=112 observed-R records,none
71,"Ionic Groups Hydroxyl, Cyano","cat__ionic_groups_hydroxyl, cyano",0.0005156442520228621,112,42,common n=112 observed-R records,none
72,Bottom Electrode Ni,cat__bottom_electrode_Ni,0.0005103289661984035,112,42,common n=112 observed-R records,none
73,"Ionic Groups Carboxyl, Hydroxyl, Quaternary Ammonium","cat__ionic_groups_carboxyl, hydroxyl, quaternary_ammonium",0.0004824141565059023,112,42,common n=112 observed-R records,none
74,Ionic Groups Ammonium,cat__ionic_groups_ammonium,0.0004671638943280436,112,42,common n=112 observed-R records,none
75,"Ionic Groups Hydroxyl, Sulfonate ","cat__ionic_groups_hydroxyl, sulfonate ",0.0003810794116987391,112,42,common n=112 observed-R records,none
76,Top Electrode To,cat__top_electrode_TO,0.0003746334398423971,112,42,common n=112 observed-R records,none
77,Structure Class Hydrogel + Film,cat__structure_class_hydrogel + film,0.0003440236503772588,112,42,common n=112 observed-R records,none
78,"Ionic Groups Carboxyl, Hydroxyl, Imidazolium, Bromide ","cat__ionic_groups_carboxyl, hydroxyl, imidazolium, bromide ",0.00026142737180601886,112,42,common n=112 observed-R records,none
79,"Ionic Groups Carboxyl, Hydroxyl, Sulfonate ","cat__ionic_groups_carboxyl, hydroxyl, sulfonate ",0.0002474284015455286,112,42,common n=112 observed-R records,none
80,"Ionic Groups Sulfonate, Phosphate, Hydroxyl ","cat__ionic_groups_sulfonate, phosphate, hydroxyl ",0.00019558732343314902,112,42,common n=112 observed-R records,none
81,Ionic Groups Carboxylate,cat__ionic_groups_carboxylate,0.00018358394537316833,112,42,common n=112 observed-R records,none
82,"Ionic Groups Hydroxyl, Silanol, Sulfonic Acid","cat__ionic_groups_hydroxyl, silanol, sulfonic acid",9.733579509967211e-05,112,42,common n=112 observed-R records,none
83,"Ionic Groups Carboxyl, Hydroxyl, Imidazolium, Chloride ","cat__ionic_groups_carboxyl, hydroxyl, imidazolium, chloride ",8.865850378806722e-05,112,42,common n=112 observed-R records,none
84,Bottom Electrode To,cat__bottom_electrode_TO,7.725219435932429e-05,112,42,common n=112 observed-R records,none
85,Top Electrode Ni,cat__top_electrode_Ni,6.543275695091154e-05,112,42,common n=112 observed-R records,none
