log_R,log_P_est,R_bin
0.9030899869919436,-2.425852935849277,"(0.318, 3.0]"
1.5352941200427703,-2.6987529113637887,"(0.318, 3.0]"
1.7781512503836436,-2.0279824013259846,"(0.318, 3.0]"
0.3010299956639812,-2.505011026316832,"(-0.127, 0.318]"
0.3010299956639812,-1.3320709851484356,"(-0.127, 0.318]"
0.3222192947339193,-1.580564725855803,"(0.318, 3.0]"
0.7781512503836436,-0.9488436171743811,"(0.318, 3.0]"
-0.1549019599857432,-2.096855729590461,"(-1.114, -0.127]"
0.380211241711606,-1.3516302297021636,"(0.318, 3.0]"
0.0791812460476248,-1.6575575789681631,"(-0.127, 0.318]"
0.3010299956639812,-1.9585678353197349,"(-0.127, 0.318]"
0.1760912590556812,-1.1249329460538116,"(-0.127, 0.318]"
-1.0,-1.5228642690388767,"(-1.114, -0.127]"
2.8609366207000937,-0.8461820879855898,"(0.318, 3.0]"
-1.6989700043360187,-1.4629873008541796,"(-2.0, -1.114]"
0.0,-1.2561689448723472,"(-0.127, 0.318]"
-1.0,-1.051826744841486,"(-1.114, -0.127]"
-1.7212463990471711,-1.2022063603988264,"(-2.0, -1.114]"
0.0,-1.1036722364925795,"(-0.127, 0.318]"
-2.285670240254767,-0.9999956570768956,"(-3.4699999999999998, -2.0]"
-0.8538719643217619,-1.0457526650932398,"(-1.114, -0.127]"
-0.5686362358410126,-0.6430166900243307,"(-1.114, -0.127]"
0.041392685158225,-0.0115520833175728,"(-0.127, 0.318]"
-2.3010299956639813,0.2730015036873995,"(-3.4699999999999998, -2.0]"
-1.0,-0.8519343762392272,"(-1.114, -0.127]"
-1.3010299956639813,0.4938066014591326,"(-2.0, -1.114]"
-1.1249387366083,-0.6856039371129267,"(-2.0, -1.114]"
-0.6989700043360187,-0.1031977515497815,"(-1.114, -0.127]"
-1.6989700043360187,-0.0636742914344295,"(-2.0, -1.114]"
-1.0,0.1303340901945032,"(-1.114, -0.127]"
-0.1249387366082999,-0.08354552503284,"(-0.127, 0.318]"
-0.0969100130080563,-0.2084840861688702,"(-0.127, 0.318]"
0.0,0.4313639250087656,"(-0.127, 0.318]"
-1.275724130399211,0.2505727104835085,"(-2.0, -1.114]"
-0.3010299956639812,0.024793833534066,"(-1.114, -0.127]"
-2.0,0.5130978195209875,"(-3.4699999999999998, -2.0]"
0.4771212547196624,0.7172543960404865,"(0.318, 3.0]"
-2.3010299956639813,0.6733436035558605,"(-3.4699999999999998, -2.0]"
-0.0457574905606751,0.518514071482256,"(-0.127, 0.318]"
0.9030899869919436,0.4586380000845733,"(0.318, 3.0]"
-1.3010299956639813,1.0213051368432924,"(-2.0, -1.114]"
-1.3187587626244128,0.8293038371709434,"(-2.0, -1.114]"
-0.3187587626244128,0.8826668698713812,"(-1.114, -0.127]"
-2.0,1.1972805856998712,"(-3.4699999999999998, -2.0]"
-2.5228787452803374,1.3424227005628642,"(-3.4699999999999998, -2.0]"
1.0,1.611192071499878,"(0.318, 3.0]"
-1.3979400086720375,1.208239776599343,"(-2.0, -1.114]"
-2.0,1.3434086134997518,"(-3.4699999999999998, -2.0]"
-1.6575773191777938,-1.0974477852446545,"(-2.0, -1.114]"
-0.585026652029182,1.1760912880086458,"(-1.114, -0.127]"
0.3010299956639812,-2.124880834537432,"(-0.127, 0.318]"
0.6989700043360189,-1.2819053934403335,"(0.318, 3.0]"
3.0,-3.217527375833714,"(0.318, 3.0]"
-1.0,-0.9140818078661233,"(-1.114, -0.127]"
-2.036212172654445,-0.3625092698101124,"(-3.4699999999999998, -2.0]"
-1.769551078621726,0.2125207909164396,"(-2.0, -1.114]"
-2.3279021420642825,0.1606188724301003,"(-3.4699999999999998, -2.0]"
-2.508638306165728,0.5012306171771781,"(-3.4699999999999998, -2.0]"
-3.4685210829577446,1.2588766533002014,"(-3.4699999999999998, -2.0]"
1.625312450961674,-4.2839966563652006,"(0.318, 3.0]"
-0.0969100130080563,-3.3849710398487907,"(-0.127, 0.318]"
1.1172712956557642,-1.7308140671860484,"(0.318, 3.0]"
-0.9208187539523752,-2.3159629625134803,"(-1.114, -0.127]"
2.0,-2.2217763732339035,"(0.318, 3.0]"
0.0,-1.9999565727231368,"(-0.127, 0.318]"
0.0,-1.325588995834374,"(-0.127, 0.318]"
0.2013971243204515,-0.3362039359154635,"(-0.127, 0.318]"
0.0,-1.1249329460538116,"(-0.127, 0.318]"
0.0,-0.7447250821562743,"(-0.127, 0.318]"
1.6283889300503116,-1.338816977303591,"(0.318, 3.0]"
1.0,-0.8239058456574236,"(0.318, 3.0]"
-0.3098039199714863,-0.7759825958319986,"(-1.114, -0.127]"
2.3010299956639813,-0.6839226676323439,"(0.318, 3.0]"
1.0,-0.3716100480815215,"(0.318, 3.0]"
-0.1301817920206718,-0.4865147119229158,"(-1.114, -0.127]"
