log_R,inorganic_electrolyte_group,ion_type_clean,structure_class_clean
0.9030899869919436,without_inorganic_electrolyte,proton,porous
1.5352941200427703,without_inorganic_electrolyte,anion,porous
1.7781512503836436,without_inorganic_electrolyte,anion,porous
0.3010299956639812,without_inorganic_electrolyte,proton,porous
0.3010299956639812,without_inorganic_electrolyte,proton,porous
0.3222192947339193,without_inorganic_electrolyte,proton,porous
0.7781512503836436,without_inorganic_electrolyte,proton,porous
-0.1549019599857432,without_inorganic_electrolyte,proton,porous
0.380211241711606,without_inorganic_electrolyte,proton,porous
0.0791812460476248,without_inorganic_electrolyte,proton,porous
0.3010299956639812,with_inorganic_electrolyte,other_cation,porous
0.1760912590556812,without_inorganic_electrolyte,proton,porous
-1.0,without_inorganic_electrolyte,proton,porous
2.8609366207000937,without_inorganic_electrolyte,proton,porous
-1.6989700043360187,without_inorganic_electrolyte,proton,porous
0.0,without_inorganic_electrolyte,proton,porous
-1.0,without_inorganic_electrolyte,proton,porous
-1.7212463990471711,with_inorganic_electrolyte,anion,porous
0.0,without_inorganic_electrolyte,proton,porous
-2.285670240254767,without_inorganic_electrolyte,proton,hydrogel
-0.8538719643217619,without_inorganic_electrolyte,proton,porous
-0.5686362358410126,without_inorganic_electrolyte,anion,porous
0.041392685158225,without_inorganic_electrolyte,proton,porous
-2.3010299956639813,without_inorganic_electrolyte,proton,porous
-1.0,with_inorganic_electrolyte,other_cation,porous
-1.3010299956639813,without_inorganic_electrolyte,proton,porous
-1.1249387366083,without_inorganic_electrolyte,proton,film
-0.6989700043360187,with_inorganic_electrolyte,other_cation,porous
-1.6989700043360187,without_inorganic_electrolyte,proton,porous
-1.0,with_inorganic_electrolyte,other_cation,porous
-0.1249387366082999,without_inorganic_electrolyte,proton,porous
-0.0969100130080563,with_inorganic_electrolyte,other_cation,porous
0.0,with_inorganic_electrolyte,other_cation,porous
-1.275724130399211,with_inorganic_electrolyte,other_cation,porous
-0.3010299956639812,with_inorganic_electrolyte,other_cation,porous
-2.0,with_inorganic_electrolyte,other_cation,porous
0.4771212547196624,without_inorganic_electrolyte,proton,porous
-2.3010299956639813,with_inorganic_electrolyte,other_cation,porous
-0.0457574905606751,with_inorganic_electrolyte,other_cation,porous
0.9030899869919436,with_inorganic_electrolyte,other_cation,porous
-1.3010299956639813,with_inorganic_electrolyte,other_cation,porous
-1.3187587626244128,with_inorganic_electrolyte,other_cation,porous
-0.3187587626244128,without_inorganic_electrolyte,proton,porous
-2.0,with_inorganic_electrolyte,other_cation,porous
-2.5228787452803374,with_inorganic_electrolyte,other_cation,porous
1.0,without_inorganic_electrolyte,proton,porous
-1.3979400086720375,with_inorganic_electrolyte,other_cation,porous
-2.0,with_inorganic_electrolyte,anion,film
-1.6575773191777938,with_inorganic_electrolyte,other_cation,porous
-0.585026652029182,with_inorganic_electrolyte,other_cation,porous
0.3010299956639812,without_inorganic_electrolyte,anion,porous
0.6989700043360189,without_inorganic_electrolyte,proton,porous
3.0,without_inorganic_electrolyte,proton,porous
-1.0,without_inorganic_electrolyte,proton,porous
-2.036212172654445,with_inorganic_electrolyte,other_cation,porous
-1.769551078621726,with_inorganic_electrolyte,proton,porous
-2.3279021420642825,with_inorganic_electrolyte,other_cation,porous
-2.508638306165728,with_inorganic_electrolyte,other_cation,porous
-3.4685210829577446,with_inorganic_electrolyte,other_cation,porous
1.625312450961674,without_inorganic_electrolyte,proton,porous
-0.0969100130080563,without_inorganic_electrolyte,proton,porous
1.1172712956557642,without_inorganic_electrolyte,proton,porous
-0.9208187539523752,without_inorganic_electrolyte,proton,porous
2.0,without_inorganic_electrolyte,proton,porous
0.0,without_inorganic_electrolyte,proton,porous
0.0,without_inorganic_electrolyte,proton,porous
0.2013971243204515,without_inorganic_electrolyte,anion,porous
0.0,without_inorganic_electrolyte,proton,film
0.0,without_inorganic_electrolyte,proton,porous
1.6283889300503116,without_inorganic_electrolyte,proton,porous
1.0,without_inorganic_electrolyte,proton,porous
-0.3098039199714863,with_inorganic_electrolyte,other_cation,porous
2.3010299956639813,without_inorganic_electrolyte,proton,porous
1.0,without_inorganic_electrolyte,proton,porous
-0.1301817920206718,with_inorganic_electrolyte,other_cation,porous
-3.0,without_inorganic_electrolyte,proton,hydrogel
-0.6575773191777937,without_inorganic_electrolyte,proton,film
0.0,without_inorganic_electrolyte,proton,porous
0.0,without_inorganic_electrolyte,proton,film
-2.0,with_inorganic_electrolyte,other_cation,hydrogel
-2.5228787452803374,without_inorganic_electrolyte,proton,porous
-1.0,with_inorganic_electrolyte,other_cation,porous
-2.0,with_inorganic_electrolyte,other_cation,hydrogel_+_porous
-1.4436974992327127,without_inorganic_electrolyte,proton,porous
