rank,structure_clean,ion_type_clean,inorganic_electrolyte_present_clean,log_R,R_regime,predicted_log_P_est
1,film,other_cation,1,-2.0,low_R,1.0894539253981976
2,film,proton,1,-2.0,low_R,0.9462169258544972
3,film,anion,1,-2.0,low_R,0.8721266866068222
4,film,other_cation,0,-2.0,low_R,0.7869021968800421
5,film,other_cation,1,-1.0,low_R,0.76504917014648
6,hydrogel,other_cation,1,-2.0,low_R,0.7198898148387057
7,film,proton,0,-2.0,low_R,0.6436651973363419
8,film,proton,1,-1.0,low_R,0.6218121706027797
9,hydrogel,proton,1,-2.0,low_R,0.5766528152950054
10,film,anion,0,-2.0,low_R,0.5695749580886668
11,film,anion,1,-1.0,low_R,0.5477219313551046
12,hydrogel,anion,1,-2.0,low_R,0.5025625760473303
13,film,other_cation,0,-1.0,low_R,0.4624974416283246
14,film,other_cation,1,0.0,high_R,0.4406444148947623
15,porous,other_cation,1,-2.0,low_R,0.42033590871879
16,hydrogel,other_cation,0,-2.0,low_R,0.4173380863205503
17,hydrogel,other_cation,1,-1.0,low_R,0.3954850595869882
18,film,proton,0,-1.0,low_R,0.3192604420846243
19,film,proton,1,0.0,high_R,0.2974074153510621
20,porous,proton,1,-2.0,low_R,0.2770989091750897
21,hydrogel,proton,0,-2.0,low_R,0.2741010867768501
22,hydrogel,proton,1,-1.0,low_R,0.2522480600432879
23,film,anion,0,-1.0,low_R,0.2451702028369492
24,film,anion,1,0.0,high_R,0.2233171761033869
25,porous,anion,1,-2.0,low_R,0.2030086699274146
26,hydrogel,anion,0,-2.0,low_R,0.2000108475291749
27,hydrogel,anion,1,-1.0,low_R,0.1781578207956128
28,film,other_cation,0,0.0,high_R,0.138092686376607
29,porous,other_cation,0,-2.0,low_R,0.1177841802006346
30,film,other_cation,1,1.0,high_R,0.1162396596430448
31,porous,other_cation,1,-1.0,low_R,0.0959311534670725
32,hydrogel,other_cation,0,-1.0,low_R,0.0929333310688328
33,hydrogel,other_cation,1,0.0,high_R,0.0710803043352706
34,film,proton,0,0.0,high_R,-0.0051443131670932
35,porous,proton,0,-2.0,low_R,-0.0254528193430656
36,film,proton,1,1.0,high_R,-0.0269973399006554
37,porous,proton,1,-1.0,low_R,-0.0473058460766277
38,hydrogel,proton,0,-1.0,low_R,-0.0503036684748674
39,hydrogel,proton,1,0.0,high_R,-0.0721566952084296
40,film,anion,0,0.0,high_R,-0.0792345524147683
41,porous,anion,0,-2.0,low_R,-0.0995430585907407
42,film,anion,1,1.0,high_R,-0.1010875791483305
43,porous,anion,1,-1.0,low_R,-0.1213960853243028
44,hydrogel,anion,0,-1.0,low_R,-0.1243939077225425
45,hydrogel,anion,1,0.0,high_R,-0.1462469344561047
46,film,other_cation,0,1.0,high_R,-0.1863120688751106
47,porous,other_cation,0,-1.0,low_R,-0.2066205750510829
48,porous,other_cation,1,0.0,high_R,-0.2284736017846451
49,hydrogel,other_cation,0,0.0,high_R,-0.2314714241828847
50,hydrogel,other_cation,1,1.0,high_R,-0.2533244509164469
51,film,proton,0,1.0,high_R,-0.3295490684188109
52,porous,proton,0,-1.0,low_R,-0.3498575745947831
53,porous,proton,1,0.0,high_R,-0.3717106013283454
54,hydrogel,proton,0,0.0,high_R,-0.3747084237265851
55,hydrogel,proton,1,1.0,high_R,-0.3965614504601472
56,film,anion,0,1.0,high_R,-0.403639307666486
57,porous,anion,0,-1.0,low_R,-0.4239478138424583
58,porous,anion,1,0.0,high_R,-0.4458008405760205
59,hydrogel,anion,0,0.0,high_R,-0.4487986629742602
60,hydrogel,anion,1,1.0,high_R,-0.4706516897078223
61,porous,other_cation,0,0.0,high_R,-0.5310253303028005
62,porous,other_cation,1,1.0,high_R,-0.5528783570363627
63,hydrogel,other_cation,0,1.0,high_R,-0.5558761794346024
64,porous,proton,0,0.0,high_R,-0.6742623298465008
65,porous,proton,1,1.0,high_R,-0.696115356580063
66,hydrogel,proton,0,1.0,high_R,-0.6991131789783027
67,porous,anion,0,0.0,high_R,-0.7483525690941759
68,porous,anion,1,1.0,high_R,-0.7702055958277381
69,hydrogel,anion,0,1.0,high_R,-0.7732034182259778
70,porous,other_cation,0,1.0,high_R,-0.8554300855545182
71,porous,proton,0,1.0,high_R,-0.9986670850982184
72,porous,anion,0,1.0,high_R,-1.0727573243458934
