section,line_hint,figure_panel,metric,group,value,uncertainty,n,unit,source_file,verified,suggested_sentence,notes
2.1,157-166,Fig. 1C/1D,final_dataset_size,all records,159,,159,records,..\notebooks\hydrovoltaic_dataset_phase2_input_utf8.csv,yes,"After scope screening and unit standardization, the final modeling dataset contained 159 non-galvanic hydrovoltaic device records.",
2.1/2.2,157-195,Fig. 1D,Jsc_availability,Jsc,159,,159,records out of 159,..\notebooks\hydrovoltaic_dataset_phase2_input_utf8.csv,yes,,
2.1/2.2,157-195,Fig. 1D,Voc_availability,Voc,159,,159,records out of 159,..\notebooks\hydrovoltaic_dataset_phase2_input_utf8.csv,yes,,
2.1/2.2,157-195,Fig. 1D,inorganic_electrolyte_availability,inorganic_electrolyte,159,,159,records out of 159,..\notebooks\hydrovoltaic_dataset_phase2_input_utf8.csv,yes,,
2.1/2.2,157-195,Fig. 1D,ion_availability,ion,159,,159,records out of 159,..\notebooks\hydrovoltaic_dataset_phase2_input_utf8.csv,yes,,
2.1/2.2,157-195,Fig. 1D,log_R_availability,log_R,112,,159,records out of 159,..\notebooks\hydrovoltaic_dataset_phase2_input_utf8.csv,yes,,
2.1/2.2,157-195,Fig. 1D,mechanism_availability,mechanism,159,,159,records out of 159,..\notebooks\hydrovoltaic_dataset_phase2_input_utf8.csv,yes,,
2.1/2.2,157-195,Fig. 1D,reported_power_density_availability,reported_power_density,108,,159,records out of 159,..\notebooks\hydrovoltaic_dataset_phase2_input_utf8.csv,yes,,
2.1/2.2,157-195,Fig. 1D,structure_availability,structure,159,,159,records out of 159,..\notebooks\hydrovoltaic_dataset_phase2_input_utf8.csv,yes,,
2.1/2.2,157-195,Fig. 1D,target_availability,target,159,,159,records out of 159,..\notebooks\hydrovoltaic_dataset_phase2_input_utf8.csv,yes,,
2.3,203-207,Descriptor framework,log_base,all log-transformed variables,base-10,,,log scale,analysis convention,yes,A base-10 logarithm was used throughout the analysis.,
2.3,224-226,Fig. 1C,ion_count,anion,9,,159,records,..\results\paper_numbers\section2_ion_counts.csv,yes,,
2.3,224-226,Fig. 1C,ion_count,other_cation,54,,159,records,..\results\paper_numbers\section2_ion_counts.csv,yes,,
2.3,224-226,Fig. 1C,ion_count,proton,96,,159,records,..\results\paper_numbers\section2_ion_counts.csv,yes,,
2.3,224-226,Fig. 1C,structure_count,film,22,,159,records,..\results\paper_numbers\section2_structure_counts.csv,yes,,
2.3,224-226,Fig. 1C,structure_count,hydrogel,14,,159,records,..\results\paper_numbers\section2_structure_counts.csv,yes,,
2.3,224-226,Fig. 1C,structure_count,hydrogel + film,1,,159,records,..\results\paper_numbers\section2_structure_counts.csv,yes,,
2.3,224-226,Fig. 1C,structure_count,hydrogel + porous,4,,159,records,..\results\paper_numbers\section2_structure_counts.csv,yes,,
2.3,224-226,Fig. 1C,structure_count,porous,118,,159,records,..\results\paper_numbers\section2_structure_counts.csv,yes,,
3.1,257-263,Fig. 2A,mechanism_group_median_log_P_est,ion_gradient,0.209,"mean=-0.050, std=1.338",107,log(P_est),..\results\paper_numbers\section3_mechanism_group_summary.csv,yes,,
3.1,257-263,Fig. 2A,mechanism_group_median_log_P_est,streaming,-1.114,"mean=-1.058, std=1.010",52,log(P_est),..\results\paper_numbers\section3_mechanism_group_summary.csv,yes,,
3.2,271-278,Fig. 2B,structure_group_median_log_P_est,film,0.671,"mean=0.524, std=1.150",22,log(P_est),..\results\paper_numbers\section3_structure_group_summary.csv,yes,,
3.2,271-278,Fig. 2B,structure_group_median_log_P_est,hydrogel,0.077,"mean=0.128, std=0.737",14,log(P_est),..\results\paper_numbers\section3_structure_group_summary.csv,yes,,
3.2,271-278,Fig. 2B,structure_group_median_log_P_est,hydrogel + film,1.006,"mean=1.006, std=",1,log(P_est),..\results\paper_numbers\section3_structure_group_summary.csv,yes,,
