split,model_A_r2,model_B_r2,delta_B_minus_A
1,0.24644651778622306,0.31929833160445287,0.0728518138182298
2,0.25940098289843627,0.43641603713254085,0.17701505423410457
3,0.19725020333741006,0.3949132152779741,0.19766301194056402
4,0.11707322380888185,0.30765357385221326,0.1905803500433314
5,0.30539937029998654,0.3275220810016627,0.02212271070167615
6,0.276849387992955,0.282146506426199,0.005297118433243986
7,0.12940139190586986,0.06025915228880152,-0.06914223961706834
8,0.340496877377495,0.587767538142806,0.247270660765311
9,0.02306058164139002,0.1846853472690697,0.1616247656276797
10,0.29376455273785695,0.26467953196916294,-0.029085020768694014
11,0.302626739872386,0.5761954089888717,0.2735686691164857
12,0.048010613435668814,0.18735512474263527,0.13934451130696646
13,-0.015394281937511689,-0.16778914846023296,-0.15239486652272127
14,0.09471906599696889,0.30427825567392053,0.20955918967695164
15,0.2588019171096996,0.45631089116060963,0.19750897405091006
16,0.1241352169104214,0.3590513650013233,0.2349161480909019
17,0.015423730776590316,-0.023804041769260875,-0.03922777254585119
18,0.24283647663758545,0.33624838730381534,0.09341191066622989
19,0.04350181198654157,0.22295362826482568,0.1794518162782841
20,0.12370597293925323,0.09585079711461586,-0.027855175824637368
21,0.25719157678418103,0.3452911540119117,0.08809957722773065
22,0.07443628142736625,0.07072530274196975,-0.0037109786853964932
23,0.2693137123367175,0.15819048334616104,-0.11112322899055649
24,0.2504734362327826,0.29753426304180064,0.04706082680901802
25,0.2698823671651287,0.2751457661346204,0.005263398969491684
26,0.17652355896190608,0.2067732957083941,0.03024973674648801
27,-0.08570953036404583,-0.03019061536533485,0.05551891499871098
28,0.2676624482822253,0.44015359885386984,0.17249115057164455
29,-0.4010184959344931,-0.19150005138778092,0.2095184445467122
30,0.11556229868626855,0.2534809337283479,0.13791863504207935
31,0.1340733044883985,0.28172456380811095,0.14765125931971246
32,0.15403388927873396,-0.10431551397049121,-0.2583494032492252
33,-0.015746506850613073,0.28362495386919684,0.2993714607198099
34,0.1490787657773014,0.33752433969628104,0.18844557391897965
35,-0.5795213570074214,-0.4832959514469386,0.09622540556048276
36,-0.10472421477121263,-0.19186863251199537,-0.08714441774078274
37,0.00929833846518835,0.13489288355411022,0.12559454508892187
38,0.0393903965681085,0.24144933811270208,0.20205894154459358
39,0.19703623148246185,0.3366994081883685,0.13966317670590667
40,0.40178850621320716,0.5936434866186514,0.19185498040544424
41,0.24280470246466757,0.41700442747554367,0.1741997250108761
42,0.1756142016744996,0.43230065609361434,0.25668645441911475
43,-0.055180380986443955,0.1240247643287361,0.17920514531518006
44,0.2590203883354595,0.39995510675685886,0.14093471842139937
45,0.3697148172787942,0.5515203316821315,0.18180551440333736
46,0.17324041669120271,0.346840585825393,0.1736001691341903
47,0.28631697961037084,0.4212625022175839,0.13494552260721304
48,0.12629633295156717,0.31870925012885387,0.1924129171772867
49,0.03566349581186701,0.19455812551291685,0.15889462970104984
50,0.22100856405709068,0.19809663186686588,-0.022911932190224804
