split,model_A_r2,model_B_r2,delta_B_minus_A
1,-0.09715052486772335,0.12881767569307567,0.22596820056079903
2,0.2258320646763362,0.4290258773248944,0.20319381264855818
3,0.3413994432390154,0.3593922812847513,0.017992838045735926
4,0.034022960258482504,0.10128443316567537,0.06726147290719287
5,-0.02227642086870163,-0.1238040393731139,-0.10152761850441228
6,0.03482981085999115,0.20361580048989103,0.16878598962989988
7,-0.09936047893325517,0.022692212433926495,0.12205269136718166
8,0.5654779112495666,0.6342458995052178,0.06876798825565122
9,0.11851940135927386,0.08629080971322778,-0.03222859164604608
10,0.12263706218615089,-0.024114740961314274,-0.14675180314746517
11,0.2379931008815961,0.37983740479674843,0.14184430391515235
12,-0.14651803091077076,0.0016344989561185574,0.14815252986688932
13,0.0701717409866155,-0.28469343916525336,-0.35486518015186885
14,0.14407622532578723,0.2743025184146791,0.1302262930888919
15,0.40414163401024283,0.30330458306709396,-0.10083705094314888
16,0.14438034292532742,0.23947082515185425,0.09509048222652683
17,-0.10547180491042174,-0.19341482778244057,-0.08794302287201883
18,0.18727914809155521,0.27588924895704237,0.08861010086548715
19,-0.14269705674501076,0.06657298064652806,0.20927003739153882
20,0.1550788779980944,0.21390965251256733,0.05883077451447294
21,0.08235856301041189,0.25336732285694963,0.17100875984653774
22,0.08807881477942747,0.2767501271487023,0.1886713123692748
23,0.34144000843891587,0.14711263834102672,-0.19432737009788914
24,0.22031765440425433,0.1405773877954838,-0.07974026660877054
25,0.34702291692215737,0.26721229027802795,-0.07981062664412941
26,-0.13586902928450661,-0.025572473653937333,0.11029655563056928
27,-0.2915995282739059,-0.43954960106562146,-0.14795007279171557
28,0.28755891027239566,0.4305555295940069,0.14299661932161123
29,-0.7201679875292903,-0.485244361257809,0.23492362627148133
30,0.010416547522023478,0.2547353290805523,0.24431878155852882
31,0.1383682069657537,0.2888618044819622,0.1504935975162085
32,-0.1832643798940885,-0.08761185776724556,0.09565252212684294
33,0.34505631169856077,0.3777970249795344,0.03274071328097361
34,0.26304771921407466,0.33628770068311986,0.0732399814690452
35,-0.5583142179839253,-0.7491941149157577,-0.19087989693183238
36,-1.1345164533107925,-0.17462665346638695,0.9598897998444056
37,0.01257346672492432,0.006022338474153566,-0.006551128250770755
38,0.21380044615564564,0.2513461571345389,0.037545710978893254
39,0.34129786638143766,0.3038458279469133,-0.03745203843452438
40,0.05150664283482165,0.6345327640733321,0.5830261212385105
41,0.2706689472665669,0.39712297421722276,0.12645402695065588
42,0.40894220758008615,0.3345716758220302,-0.07437053175805597
43,-0.2527552368370616,-0.13569899851689127,0.11705623832017031
44,0.354894290380943,0.4529710824389248,0.09807679205798181
45,0.5820671143081688,0.4294554167761657,-0.1526116975320031
46,0.05737841998937443,0.22545628701234943,0.168077867022975
47,0.20222877574071751,0.4300643737580673,0.22783559801734976
48,0.07003005079111446,0.06998242232925478,-4.762846185968339e-05
49,-0.0005751167549188363,-0.1388969512655942,-0.13832183451067537
50,0.36988091578757676,0.18121883910595793,-0.18866207668161883
