split,model_A_r2,model_B_r2,delta_B_minus_A
1,-0.1831964855070729,0.0464962280371608,0.2296927135442337
2,0.05998284296147027,0.30691928921194445,0.24693644625047417
3,0.16696788866121803,0.13801715112298685,-0.028950737538231186
4,-0.09856346276441141,0.183634386750268,0.2821978495146794
5,-0.19513618116066533,0.14551873623850642,0.34065491739917175
6,-0.17509296292906762,0.09076458684465916,0.2658575497737268
7,-0.11737571696496896,-0.22901272096026637,-0.11163700399529741
8,0.3579529985928117,0.5932540628147918,0.23530106422198005
9,0.04181868732224581,0.1386238803879707,0.09680519306572488
10,-0.34188311453181197,-0.0011662282700597437,0.3407168862617522
11,-0.03473719395260688,0.281025868549753,0.31576306250235986
12,-0.41743038764774676,0.005609196428342456,0.4230395840760892
13,-0.3582334838346024,-0.4627990862936866,-0.1045656024590842
14,-0.03940243828143375,0.15351497077078846,0.1929174090522222
15,0.2618876069674737,0.575535367166442,0.31364776019896834
16,0.05149470469248951,0.25432088956983323,0.20282618487734372
17,-0.3020119576835425,-0.2475196171394911,0.05449234054405139
18,0.08404061738918767,0.14621425857689918,0.062173641187711515
19,-0.5403983151546579,-0.06012346682222924,0.4802748483324286
20,-0.1400256819064123,-0.010961943763486914,0.12906373814292538
21,-0.08023113170678542,0.2550734674845089,0.3353045991912943
22,-0.16090359088284822,0.001110303787929312,0.16201389467077754
23,0.22800147544323068,0.1411560868296302,-0.08684538861360047
24,0.2240925789384982,0.3308862609251194,0.1067936819866212
25,0.08170956854107281,0.11853833010329595,0.036828761562223145
26,-0.32017451510972017,-0.0648369019095576,0.25533761320016257
27,-0.11531230198178788,0.015902201204410993,0.13121450318619887
28,0.18198727431927153,0.3991386563718127,0.21715138205254114
29,-1.0097174574325494,-0.7112291666170107,0.2984882908155386
30,-0.4367632054049737,-0.3303998708391298,0.1063633345658439
31,0.16262582346455456,0.3919881032434731,0.22936227977891854
32,-0.1320043529002637,-0.21982113742025877,-0.08781678451999508
33,0.0959480160350199,0.2358117994226756,0.1398637833876557
34,-0.06949112725221496,0.2357839496196068,0.30527507687182176
35,-1.125510378351262,-0.722914459770307,0.4025959185809551
36,-1.4084318259494109,-1.1306812526757417,0.27775057327366914
37,-0.030091672897416766,0.08311719031055598,0.11320886320797274
38,-0.1050519916156023,0.00818707781341843,0.11323906942902073
39,0.16118204432732908,0.2737282415311101,0.112546197203781
40,0.06328313512927641,0.4285570243209067,0.3652738891916303
41,0.07904780532025801,0.36250259655218664,0.2834547912319286
42,0.1560739226572484,0.2465324759922175,0.0904585533349691
43,-0.5024291774823775,-0.09321147767516691,0.40921769980721057
44,0.2094144999556643,0.45591871503319104,0.24650421507752673
45,0.3985192456561948,0.5058170711333507,0.10729782547715594
46,-0.04697485236040366,0.19449942370703466,0.24147427606743832
47,0.29316808072215417,0.3389003876879534,0.04573230696579922
48,0.04159290641533864,0.23674969006326618,0.19515678364792755
49,-0.2621357367000192,0.007658360291766808,0.269794096991786
50,0.14789748561546034,0.0931824092283643,-0.05471507638709605
