split,model_A_r2,model_B_r2,delta_B_minus_A
1,-0.5337431753780375,-0.10228216049555816,0.43146101488247934
2,0.11879852087853893,0.39662456442617,0.2778260435476311
3,0.33318998206709527,0.3016133229961039,-0.031576659070991386
4,-0.09779310467331115,0.011523260615856734,0.10931636528916788
5,-0.4588314591861917,-0.3086505305245544,0.15018092866163735
6,-0.22770825236784908,0.10144481293727248,0.32915306530512156
7,-0.2780434288043552,-0.3248455739809428,-0.04680214517658765
8,0.20825597758344316,0.22833100466949363,0.020075027086050468
9,0.11806660291658932,0.05148138522482493,-0.0665852176917644
10,-0.3470567832840403,-0.4070663047779204,-0.06000952149388006
11,0.05710132690112779,0.22638254889195164,0.16928122199082385
12,-0.3350880455407679,-0.05719909364325959,0.2778889518975083
13,-0.11397278240687991,-0.26642312226493714,-0.15245033985805723
14,0.11516503307400294,0.16520462905232347,0.05003959597832053
15,0.3574134255713416,0.24271669786115624,-0.11469672771018535
16,0.09903262244295696,-0.01688454873273515,-0.11591717117569211
17,-0.19746334631669904,-0.32225913032777864,-0.1247957840110796
18,0.10399559777130984,0.12792755639087228,0.023931958619562432
19,-0.3609931089203262,-0.03653323336798375,0.32445987555234246
20,-0.022234212540766185,0.17818299336901033,0.20041720590977652
21,0.0003074623603527282,0.3806286951463075,0.38032123278595475
22,-0.18316679305578476,0.04947731974803837,0.23264411280382313
23,0.2298377504083522,0.16828641168727743,-0.061551338721074766
24,0.15065651343898212,0.11113672593947665,-0.039519787499505465
25,0.2145503967932363,0.23506017824397674,0.02050978145074045
26,-0.23453918097248772,-0.1419087772148857,0.09263040375760201
27,-0.29041040266388585,-0.4437941926708895,-0.15338379000700364
28,0.22505081493136836,0.24124951029047192,0.016198695359103565
29,-0.980987941968769,-0.7266292981026741,0.25435864386609497
30,-0.3393996299457527,0.16327369122085134,0.502673321166604
31,-0.02994676886170322,0.2282361306744054,0.2581828995361086
32,-0.438399542386845,-0.33742878755274597,0.10097075483409901
33,0.19844344744216902,0.13084743776999586,-0.06759600967217316
34,-0.05340042499319564,0.1427185334600628,0.19611895845325844
35,-0.9257932041373367,-0.5519447931835368,0.37384841095379984
36,-2.037369931630713,-0.4106982889975479,1.626671642633165
37,0.07651985553682472,-0.1443282786948641,-0.2208481342316888
38,-0.05420252400180581,-0.07990085904951294,-0.025698335047707133
39,0.3026825260919994,0.17076047819921214,-0.13192204789278728
40,-0.25476862768547615,0.3853033975634099,0.6400720252488861
41,0.1484348087314339,0.3882565225569138,0.2398217138254799
42,0.2295088307753821,0.028203754348690935,-0.20130507642669115
43,-0.7359873484844626,-0.18927107927769815,0.5467162692067644
44,0.2641341785496858,0.48979686797301225,0.22566268942332646
45,0.5215556701126082,0.44198319617388626,-0.07957247393872191
46,-0.07317844392731954,0.12964757205408606,0.2028260159814056
47,-0.09109507884770962,0.39187128159931184,0.48296636044702146
48,-0.034147666324917614,-0.16347573329428844,-0.12932806696937083
49,-0.01455033054194188,-0.18551376511812867,-0.1709634345761868
50,0.24751535811604353,-0.03936179079271773,-0.28687714890876126
