rank,descriptor,encoded_feature,mean_abs_shap,n_rows_observed_R,holdout_random_state
1,log(R),resistance__log_internal_resistance_Mohm,0.45994240835000894,112,42
2,Other cation,cat__ion_type_other_cation,0.07190212103752831,112,42
3,Top Electrode Cu,cat__top_electrode_Cu,0.051898048159730446,112,42
4,Material Class Biomass,cat__material_class_biomass,0.050612741066864864,112,42
5,Bottom Electrode Cu,cat__bottom_electrode_Cu,0.04978383816004232,112,42
6,Film structure,cat__structure_class_film,0.049011968818037314,112,42
7,Top Electrode Au,cat__top_electrode_Au,0.047250477170270776,112,42
8,Proton,cat__ion_type_proton,0.046656611493033615,112,42
9,Bottom Electrode Au,cat__bottom_electrode_Au,0.04071725353541626,112,42
10,Material Class Polymer,cat__material_class_polymer,0.038176778010572864,112,42
11,Metal Electrode,num__metal_electrode,0.035998419276070406,112,42
12,Ion-gradient label,cat__mechanism_simple_ion_gradient,0.03331051958861936,112,42
13,"Ionic Groups Carboxyl, Hydroxyl","cat__ionic_groups_carboxyl, hydroxyl",0.02648321079040736,112,42
14,"Ionic Groups Carboxyl, Hydroxyl, Amino","cat__ionic_groups_carboxyl, hydroxyl, amino",0.025007355006801534,112,42
15,Material Class Carbon,cat__material_class_carbon,0.024992702513638866,112,42
16,Streaming label,cat__mechanism_simple_streaming,0.024101816074151985,112,42
17,Ionic Groups Sulfonate,cat__ionic_groups_sulfonate,0.021449279529460057,112,42
18,Inorganic Electrolyte Present,num__inorganic_electrolyte_present,0.017866274191429866,112,42
19,Electrode Symmetry,num__electrode_symmetry,0.01665735527348436,112,42
20,Porous structure,cat__structure_class_porous,0.013194638568306351,112,42
21,Has Zwitterionic,num__has_zwitterionic,0.012449144930507127,112,42
22,Structure Class Hydrogel,cat__structure_class_hydrogel,0.01202113269084064,112,42
23,Top Electrode Pt,cat__top_electrode_Pt,0.011450155388260086,112,42
24,Water Interaction Mode Evaporation Driven,cat__water_interaction_mode_evaporation_driven,0.010984351479314374,112,42
25,Top Electrode Ti,cat__top_electrode_Ti,0.010941086207547553,112,42
26,"Ionic Groups Hydroxyl, Ti-O, Sn-O ","cat__ionic_groups_hydroxyl, Ti-O, Sn-O ",0.010739048587101169,112,42
27,Bottom Electrode Ag,cat__bottom_electrode_Ag,0.010624499173292572,112,42
28,Material Class Others,cat__material_class_others,0.00991454280067691,112,42
29,Has Anionic,num__has_anionic,0.009803596718833976,112,42
30,Bottom Electrode Pt,cat__bottom_electrode_Pt,0.008088944555553564,112,42
31,Ionic Groups Residual Hydrogen On Mos2,cat__ionic_groups_residual hydrogen on MoS2,0.007432188288428915,112,42
32,Material Class Semiconductor,cat__material_class_semiconductor,0.007312853426657751,112,42
33,Ionic Groups Hydroxyl,cat__ionic_groups_hydroxyl,0.0072253520953704025,112,42
34,Bottom Electrode Ti,cat__bottom_electrode_Ti,0.006810371004230864,112,42
35,Top Electrode Ag,cat__top_electrode_Ag,0.006795896392318134,112,42
36,Water Interaction Mode Vapor Adsorption,cat__water_interaction_mode_vapor_adsorption,0.006517665943266203,112,42
37,Built In Asymmetry,num__built_in_asymmetry,0.006088676586688424,112,42
38,Bottom Electrode Carbon,cat__bottom_electrode_Carbon,0.0058869311629560425,112,42
39,Has Cationic,num__has_cationic,0.005463500638182899,112,42
40,Material Class Metal Oxide,cat__material_class_metal oxide,0.005423725555321875,112,42
41,Top Electrode Carbon,cat__top_electrode_Carbon,0.005333965151985416,112,42
42,Anion,cat__ion_type_anion,0.004759122875000385,112,42
43,"Ionic Groups Carboxyl, Hydroxyl ","cat__ionic_groups_carboxyl, hydroxyl ",0.004623258707826264,112,42
44,Water Interaction Mode Liquid Contact,cat__water_interaction_mode_liquid_contact,0.003861135344596009,112,42
45,Ionic Groups Silanol ,cat__ionic_groups_silanol ,0.00367243316483242,112,42
46,Top Electrode Cnt,cat__top_electrode_CNT,0.0035605330324744696,112,42
47,"Ionic Groups Sulfonate, Hydroxyl","cat__ionic_groups_sulfonate, hydroxyl",0.0032719355655347047,112,42
48,Bottom Electrode Cnt,cat__bottom_electrode_CNT,0.0032693367402398853,112,42
49,"Ionic Groups Carboxyl, Hydroxyl, Sulfonate, Amino","cat__ionic_groups_carboxyl, hydroxyl, sulfonate, amino",0.0030800914525354254,112,42
50,Bottom Electrode Al,cat__bottom_electrode_Al,0.002895583952140848,112,42
51,Polyelectrolyte Present,num__polyelectrolyte_present,0.0028271152796389555,112,42
52,Top Electrode Steel,cat__top_electrode_Steel,0.0027328162289548094,112,42
53,Bottom Electrode Steel,cat__bottom_electrode_Steel,0.002682682174101666,112,42
54,Ionic Groups Silanol Hydroxyl,cat__ionic_groups_silanol hydroxyl,0.002189109790660933,112,42
55,"Ionic Groups Carboxyl, Quaternary Ammonium, Amino, Hydroxyl ","cat__ionic_groups_carboxyl, quaternary ammonium, amino, hydroxyl ",0.0019951998928885747,112,42
