canonical_row_index,paper_doi,structure_class,log_estimated_power_density,log_internal_resistance_Mohm
0,10.1038/nnano.2016.300,porous,-2.425852935849277,0.9030899869919436
1,10.1021/acsaelm.9b00419,porous,-2.6987529113637887,1.5352941200427703
2,10.1002/adma.202514202,porous,-2.0279824013259846,1.7781512503836436
5,10.1038/s44221-024-00311-9,porous,-2.505011026316832,0.3010299956639812
11,10.1016/j.apmt.2023.101801,porous,-1.3320709851484356,0.3010299956639812
12,10.1016/j.applthermaleng.2019.114623,porous,-1.580564725855803,0.3222192947339193
14,10.1021/acsami.9b09582,porous,-0.9488436171743811,0.7781512503836436
15,10.1038/s41467-024-54216-y,porous,-2.096855729590461,-0.1549019599857432
16,10.1002/aenm.201702481,porous,-1.3516302297021636,0.380211241711606
17,10.1016/j.cej.2021.132759,porous,-1.6575575789681631,0.0791812460476248
19,10.1016/j.nanoen.2020.105522,porous,-1.9585678353197349,0.3010299956639812
20,10.1002/adfm.201700551,porous,-1.1249329460538116,0.1760912590556812
21,10.1021/acsami.9b23380,porous,-1.5228642690388767,-1.0
22,10.1016/j.nanoen.2019.03.041,porous,-0.8461820879855898,2.8609366207000937
23,10.1021/acsami.1c13487,porous,-1.4629873008541796,-1.6989700043360187
26,10.1016/j.nanoen.2023.108491,porous,-1.2561689448723472,0.0
28,10.1021/acsami.2c18317,porous,-1.051826744841486,-1.0
29,10.1016/j.cej.2025.163895,porous,-1.2022063603988264,-1.7212463990471711
30,10.1021/acssuschemeng.3c01952,porous,-1.1036722364925795,0.0
31,10.1016/j.matt.2025.102200,hydrogel,-0.9999956570768956,-2.285670240254767
32,10.1021/acsami.4c12675,porous,-1.0457526650932398,-0.8538719643217619
35,10.1016/j.nanoen.2018.12.042,porous,-0.6430166900243307,-0.5686362358410126
36,10.1016/j.ceramint.2025.12.050,porous,-0.0115520833175728,0.041392685158225
37,10.1016/j.jpowsour.2023.233007,porous,0.2730015036873995,-2.3010299956639813
38,10.1002/adfm.202521733,porous,-0.8519343762392272,-1.0
39,10.1039/d5mh01101a,porous,0.4938066014591326,-1.3010299956639813
40,10.1002/advs.202400856,film,-0.6856039371129267,-1.1249387366083
41,10.1021/acsami.1c04508,porous,-0.1031977515497815,-0.6989700043360187
42,10.1016/j.nanoen.2020.104663,porous,-0.0636742914344295,-1.6989700043360187
43,10.1002/adfm.202208933,porous,0.1303340901945032,-1.0
44,10.1016/j.ceramint.2024.03.066,porous,-0.08354552503284,-0.1249387366082999
45,10.1002/advs.202304482,porous,-0.2084840861688702,-0.0969100130080563
46,10.1002/adfm.202419753,porous,0.4313639250087656,0.0
48,10.1002/adfm.202314231,porous,0.2505727104835085,-1.275724130399211
49,10.1016/j.cej.2022.140568,porous,0.024793833534066,-0.3010299956639812
51,10.1021/acsami.4c07729,porous,0.5130978195209875,-2.0
52,10.1016/j.nanoen.2025.110992,porous,0.7172543960404865,0.4771212547196624
54,10.1002/adfm.202418823,porous,0.6733436035558605,-2.3010299956639813
55,10.1016/j.nanoen.2019.104385,porous,0.518514071482256,-0.0457574905606751
56,10.1016/j.jpowsour.2024.235934,porous,0.4586380000845733,0.9030899869919436
57,10.1002/eem2.70017,porous,1.0213051368432924,-1.3010299956639813
58,10.1002/adfm.202510747,porous,0.8293038371709434,-1.3187587626244128
60,10.1016/j.cej.2025.171723,porous,0.8826668698713812,-0.3187587626244128
61,10.1002/adfm.202531296,porous,1.1972805856998712,-2.0
62,10.1021/acsnano.4c00990,porous,1.3424227005628642,-2.5228787452803374
63,10.1021/acsami.4c01026,porous,1.611192071499878,1.0
64,10.1021/acsami.3c04726,porous,1.208239776599343,-1.3979400086720375
65,10.1002/adma.202312209,film,1.3434086134997518,-2.0
67,10.1016/j.nanoen.2022.107378,porous,-1.0974477852446545,-1.6575773191777938
68,10.1016/j.nanoen.2025.110731,porous,1.1760912880086458,-0.585026652029182
70,10.1016/j.nanoen.2020.104502,porous,-2.124880834537432,0.3010299956639812
71,10.1002/smll.202400961,porous,-1.2819053934403335,0.6989700043360189
73,10.1002/adfm.201901798,porous,-3.217527375833714,3.0
75,10.1016/j.cej.2021.133236,porous,-0.9140818078661233,-1.0
79,10.1021/acsami.8b16529,porous,-0.3625092698101124,-2.036212172654445
80,10.1016/j.carbon.2024.119008,porous,0.2125207909164396,-1.769551078621726
81,10.1016/j.surfin.2023.102853,porous,0.1606188724301003,-2.3279021420642825
82,10.1002/smll.202306318,porous,0.5012306171771781,-2.508638306165728
83,10.1016/j.carbon.2023.118687,porous,1.2588766533002014,-3.4685210829577446
86,10.1002/anie.201602708,porous,-4.2839966563652006,1.625312450961674
87,10.1016/j.nanoen.2020.104610,porous,-3.3849710398487907,-0.0969100130080563
88,10.1016/j.nanoen.2023.108973,porous,-1.7308140671860484,1.1172712956557642
91,10.1021/acsaem.4c00368,porous,-2.3159629625134803,-0.9208187539523752
92,10.1021/acsami.0c17931,porous,-2.2217763732339035,2.0
95,10.1002/adfm.202418834,porous,-1.9999565727231368,0.0
97,10.1021/acsnano.4c09494,porous,-1.325588995834374,0.0
100,10.1002/adma.202304099,porous,-0.3362039359154635,0.2013971243204515
101,10.1038/s41586-020-2010-9,film,-1.1249329460538116,0.0
103,10.1021/acsami.3c14264,porous,-0.7447250821562743,0.0
104,10.1016/j.reactfunctpolym.2023.105806,porous,-1.338816977303591,1.6283889300503116
105,10.1039/C9EE00838A,porous,-0.8239058456574236,1.0
106,10.1016/j.applthermaleng.2025.127255,porous,-0.7759825958319986,-0.3098039199714863
