canonical_row_index,paper_doi,structure_class
0,10.1038/nnano.2016.300,porous
1,10.1021/acsaelm.9b00419,porous
2,10.1002/adma.202514202,porous
3,10.1016/j.joule.2022.02.002,porous
4,10.1016/j.ceramint.2023.05.033,porous
5,10.1038/s44221-024-00311-9,porous
6,10.1016/j.nanoen.2019.02.011,porous
7,10.1016/j.nanoen.2019.05.079,porous
8,10.1002/adfm.202104732,porous
9,10.1016/j.jmst.2020.11.002,porous
10,10.1002/adma.202310260,film
11,10.1016/j.apmt.2023.101801,porous
12,10.1016/j.applthermaleng.2019.114623,porous
13,10.1039/C8TA12328D,porous
14,10.1021/acsami.9b09582,porous
15,10.1038/s41467-024-54216-y,porous
16,10.1002/aenm.201702481,porous
17,10.1016/j.cej.2021.132759,porous
18,10.1016/j.jcis.2024.02.057,porous
19,10.1016/j.nanoen.2020.105522,porous
20,10.1002/adfm.201700551,porous
21,10.1021/acsami.9b23380,porous
22,10.1016/j.nanoen.2019.03.041,porous
23,10.1021/acsami.1c13487,porous
24,10.1002/adma.202003720,porous
25,10.1016/j.scib.2019.06.020,porous
26,10.1016/j.nanoen.2023.108491,porous
27,10.1038/s41467-024-49429-0,film
28,10.1021/acsami.2c18317,porous
29,10.1016/j.cej.2025.163895,porous
30,10.1021/acssuschemeng.3c01952,porous
31,10.1016/j.matt.2025.102200,hydrogel
32,10.1021/acsami.4c12675,porous
33,10.1039/c9gc04310a,porous
34,10.1038/s41598-021-90374-5,porous
35,10.1016/j.nanoen.2018.12.042,porous
36,10.1016/j.ceramint.2025.12.050,porous
37,10.1016/j.jpowsour.2023.233007,porous
38,10.1002/adfm.202521733,porous
39,10.1039/d5mh01101a,porous
40,10.1002/advs.202400856,film
41,10.1021/acsami.1c04508,porous
42,10.1016/j.nanoen.2020.104663,porous
43,10.1002/adfm.202208933,porous
44,10.1016/j.ceramint.2024.03.066,porous
45,10.1002/advs.202304482,porous
46,10.1002/adfm.202419753,porous
47,10.1016/j.nanoen.2020.105096,porous
48,10.1002/adfm.202314231,porous
49,10.1016/j.cej.2022.140568,porous
50,10.1021/jacs.3c13159,porous
51,10.1021/acsami.4c07729,porous
52,10.1016/j.nanoen.2025.110992,porous
53,10.1038/s41467-022-34496-y,porous
54,10.1002/adfm.202418823,porous
55,10.1016/j.nanoen.2019.104385,porous
56,10.1016/j.jpowsour.2024.235934,porous
57,10.1002/eem2.70017,porous
58,10.1002/adfm.202510747,porous
59,10.1016/j.nanoen.2022.107241,porous
60,10.1016/j.cej.2025.171723,porous
61,10.1002/adfm.202531296,porous
62,10.1021/acsnano.4c00990,porous
63,10.1021/acsami.4c01026,porous
64,10.1021/acsami.3c04726,porous
65,10.1002/adma.202312209,film
66,10.1039/d0ee02730h,porous
67,10.1016/j.nanoen.2022.107378,porous
68,10.1016/j.nanoen.2025.110731,porous
69,10.1016/j.nanoen.2023.108348,porous
70,10.1016/j.nanoen.2020.104502,porous
71,10.1002/smll.202400961,porous
72,10.1002/smll.202511802,porous
73,10.1002/adfm.201901798,porous
74,10.1002/adfm.202203666,porous
75,10.1016/j.cej.2021.133236,porous
76,10.1038/s41565-024-01691-5,film
77,10.1038/s41467-022-32105-6,film
78,10.1021/acsapm.4c00849,hydrogel
79,10.1021/acsami.8b16529,porous
