rank,structure_clean,ion_type_clean,inorganic_electrolyte_present_clean,log_R,R_regime,predicted_log_P_est
1,film,other_cation,1,-2.0,low_R,1.0894539253981976
2,film,proton,1,-2.0,low_R,0.9462169258544972
3,film,anion,1,-2.0,low_R,0.8721266866068222
4,film,other_cation,0,-2.0,low_R,0.7869021968800421
5,film,other_cation,1,-1.0,low_R,0.76504917014648
6,hydrogel,other_cation,1,-2.0,low_R,0.7198898148387057
7,film,proton,0,-2.0,low_R,0.6436651973363419
8,film,proton,1,-1.0,low_R,0.6218121706027797
9,hydrogel,proton,1,-2.0,low_R,0.5766528152950054
10,film,anion,0,-2.0,low_R,0.5695749580886668
11,film,anion,1,-1.0,low_R,0.5477219313551046
12,hydrogel,anion,1,-2.0,low_R,0.5025625760473303
13,film,other_cation,0,-1.0,low_R,0.4624974416283246
14,film,other_cation,1,0.0,high_R,0.44064441489476236
15,porous,other_cation,1,-2.0,low_R,0.42033590871879
16,hydrogel,other_cation,0,-2.0,low_R,0.41733808632055036
17,hydrogel,other_cation,1,-1.0,low_R,0.3954850595869882
18,film,proton,0,-1.0,low_R,0.31926044208462434
19,film,proton,1,0.0,high_R,0.2974074153510621
20,porous,proton,1,-2.0,low_R,0.2770989091750897
21,hydrogel,proton,0,-2.0,low_R,0.2741010867768501
22,hydrogel,proton,1,-1.0,low_R,0.2522480600432879
23,film,anion,0,-1.0,low_R,0.24517020283694924
24,film,anion,1,0.0,high_R,0.22331717610338697
25,porous,anion,1,-2.0,low_R,0.20300866992741462
26,hydrogel,anion,0,-2.0,low_R,0.20001084752917497
27,hydrogel,anion,1,-1.0,low_R,0.17815782079561282
28,film,other_cation,0,0.0,high_R,0.13809268637660704
29,porous,other_cation,0,-2.0,low_R,0.11778418020063464
30,film,other_cation,1,1.0,high_R,0.11623965964304489
31,porous,other_cation,1,-1.0,low_R,0.09593115346707254
32,hydrogel,other_cation,0,-1.0,low_R,0.09293333106883284
33,hydrogel,other_cation,1,0.0,high_R,0.07108030433527063
34,film,proton,0,0.0,high_R,-0.005144313167093267
35,porous,proton,0,-2.0,low_R,-0.025452819343065675
36,film,proton,1,1.0,high_R,-0.02699733990065542
37,porous,proton,1,-1.0,low_R,-0.04730584607662777
38,hydrogel,proton,0,-1.0,low_R,-0.050303668474867475
39,hydrogel,proton,1,0.0,high_R,-0.07215669520842968
40,film,anion,0,0.0,high_R,-0.07923455241476836
41,porous,anion,0,-2.0,low_R,-0.09954305859074077
42,film,anion,1,1.0,high_R,-0.10108757914833051
43,porous,anion,1,-1.0,low_R,-0.12139608532430286
44,hydrogel,anion,0,-1.0,low_R,-0.12439390772254257
45,hydrogel,anion,1,0.0,high_R,-0.14624693445610476
46,film,other_cation,0,1.0,high_R,-0.1863120688751106
47,porous,other_cation,0,-1.0,low_R,-0.2066205750510829
48,porous,other_cation,1,0.0,high_R,-0.2284736017846451
49,hydrogel,other_cation,0,0.0,high_R,-0.23147142418288474
50,hydrogel,other_cation,1,1.0,high_R,-0.2533244509164469
51,film,proton,0,1.0,high_R,-0.32954906841881093
52,porous,proton,0,-1.0,low_R,-0.34985757459478317
53,porous,proton,1,0.0,high_R,-0.37171060132834544
54,hydrogel,proton,0,0.0,high_R,-0.3747084237265851
55,hydrogel,proton,1,1.0,high_R,-0.39656145046014724
56,film,anion,0,1.0,high_R,-0.40363930766648604
57,porous,anion,0,-1.0,low_R,-0.4239478138424583
58,porous,anion,1,0.0,high_R,-0.44580084057602054
59,hydrogel,anion,0,0.0,high_R,-0.4487986629742602
60,hydrogel,anion,1,1.0,high_R,-0.47065168970782234
61,porous,other_cation,0,0.0,high_R,-0.5310253303028005
62,porous,other_cation,1,1.0,high_R,-0.5528783570363627
63,hydrogel,other_cation,0,1.0,high_R,-0.5558761794346024
64,porous,proton,0,0.0,high_R,-0.6742623298465008
65,porous,proton,1,1.0,high_R,-0.696115356580063
66,hydrogel,proton,0,1.0,high_R,-0.6991131789783027
67,porous,anion,0,0.0,high_R,-0.7483525690941759
68,porous,anion,1,1.0,high_R,-0.7702055958277381
69,hydrogel,anion,0,1.0,high_R,-0.7732034182259778
70,porous,other_cation,0,1.0,high_R,-0.8554300855545182
71,porous,proton,0,1.0,high_R,-0.9986670850982184
72,porous,anion,0,1.0,high_R,-1.0727573243458934
