canonical_row_index,paper_doi,resistance_availability,internal_resistance_Mohm,log_internal_resistance_Mohm
0,10.1038/nnano.2016.300,R reported,8.0,0.9030899869919436
1,10.1021/acsaelm.9b00419,R reported,34.3,1.5352941200427703
2,10.1002/adma.202514202,R reported,60.0,1.7781512503836436
3,10.1016/j.joule.2022.02.002,R missing,,
4,10.1016/j.ceramint.2023.05.033,R missing,,
5,10.1038/s44221-024-00311-9,R reported,2.0,0.3010299956639812
6,10.1016/j.nanoen.2019.02.011,R missing,,
7,10.1016/j.nanoen.2019.05.079,R missing,,
8,10.1002/adfm.202104732,R missing,,
9,10.1016/j.jmst.2020.11.002,R missing,,
10,10.1002/adma.202310260,R missing,,
11,10.1016/j.apmt.2023.101801,R reported,2.0,0.3010299956639812
12,10.1016/j.applthermaleng.2019.114623,R reported,2.1,0.3222192947339193
13,10.1039/C8TA12328D,R missing,,
14,10.1021/acsami.9b09582,R reported,6.0,0.7781512503836436
15,10.1038/s41467-024-54216-y,R reported,0.7,-0.1549019599857432
16,10.1002/aenm.201702481,R reported,2.4,0.380211241711606
17,10.1016/j.cej.2021.132759,R reported,1.2,0.0791812460476248
18,10.1016/j.jcis.2024.02.057,R missing,,
19,10.1016/j.nanoen.2020.105522,R reported,2.0,0.3010299956639812
20,10.1002/adfm.201700551,R reported,1.5,0.1760912590556812
21,10.1021/acsami.9b23380,R reported,0.1,-1.0
22,10.1016/j.nanoen.2019.03.041,R reported,726.0,2.8609366207000937
23,10.1021/acsami.1c13487,R reported,0.02,-1.6989700043360187
24,10.1002/adma.202003720,R missing,,
25,10.1016/j.scib.2019.06.020,R missing,,
26,10.1016/j.nanoen.2023.108491,R reported,1.0,0.0
27,10.1038/s41467-024-49429-0,R missing,,
28,10.1021/acsami.2c18317,R reported,0.1,-1.0
29,10.1016/j.cej.2025.163895,R reported,0.019,-1.7212463990471711
30,10.1021/acssuschemeng.3c01952,R reported,1.0,0.0
31,10.1016/j.matt.2025.102200,R reported,0.00518,-2.285670240254767
32,10.1021/acsami.4c12675,R reported,0.14,-0.8538719643217619
33,10.1039/c9gc04310a,R missing,,
34,10.1038/s41598-021-90374-5,R missing,,
35,10.1016/j.nanoen.2018.12.042,R reported,0.27,-0.5686362358410126
36,10.1016/j.ceramint.2025.12.050,R reported,1.1,0.041392685158225
37,10.1016/j.jpowsour.2023.233007,R reported,0.005,-2.3010299956639813
38,10.1002/adfm.202521733,R reported,0.1,-1.0
39,10.1039/d5mh01101a,R reported,0.05,-1.3010299956639813
40,10.1002/advs.202400856,R reported,0.075,-1.1249387366083
41,10.1021/acsami.1c04508,R reported,0.2,-0.6989700043360187
42,10.1016/j.nanoen.2020.104663,R reported,0.02,-1.6989700043360187
43,10.1002/adfm.202208933,R reported,0.1,-1.0
44,10.1016/j.ceramint.2024.03.066,R reported,0.75,-0.1249387366082999
45,10.1002/advs.202304482,R reported,0.8,-0.0969100130080563
46,10.1002/adfm.202419753,R reported,1.0,0.0
47,10.1016/j.nanoen.2020.105096,R missing,,
48,10.1002/adfm.202314231,R reported,0.053,-1.275724130399211
49,10.1016/j.cej.2022.140568,R reported,0.5,-0.3010299956639812
50,10.1021/jacs.3c13159,R missing,,
51,10.1021/acsami.4c07729,R reported,0.01,-2.0
52,10.1016/j.nanoen.2025.110992,R reported,3.0,0.4771212547196624
53,10.1038/s41467-022-34496-y,R missing,,
54,10.1002/adfm.202418823,R reported,0.005,-2.3010299956639813
55,10.1016/j.nanoen.2019.104385,R reported,0.9,-0.0457574905606751
56,10.1016/j.jpowsour.2024.235934,R reported,8.0,0.9030899869919436
57,10.1002/eem2.70017,R reported,0.05,-1.3010299956639813
58,10.1002/adfm.202510747,R reported,0.048,-1.3187587626244128
59,10.1016/j.nanoen.2022.107241,R missing,,
60,10.1016/j.cej.2025.171723,R reported,0.48,-0.3187587626244128
61,10.1002/adfm.202531296,R reported,0.01,-2.0
62,10.1021/acsnano.4c00990,R reported,0.003,-2.5228787452803374
63,10.1021/acsami.4c01026,R reported,10.0,1.0
64,10.1021/acsami.3c04726,R reported,0.04,-1.3979400086720375
65,10.1002/adma.202312209,R reported,0.01,-2.0
66,10.1039/d0ee02730h,R missing,,
67,10.1016/j.nanoen.2022.107378,R reported,0.022,-1.6575773191777938
68,10.1016/j.nanoen.2025.110731,R reported,0.26,-0.585026652029182
69,10.1016/j.nanoen.2023.108348,R missing,,
70,10.1016/j.nanoen.2020.104502,R reported,2.0,0.3010299956639812
71,10.1002/smll.202400961,R reported,5.0,0.6989700043360189
72,10.1002/smll.202511802,R missing,,
73,10.1002/adfm.201901798,R reported,1000.0,3.0
74,10.1002/adfm.202203666,R missing,,
75,10.1016/j.cej.2021.133236,R reported,0.1,-1.0
76,10.1038/s41565-024-01691-5,R missing,,
77,10.1038/s41467-022-32105-6,R missing,,
78,10.1021/acsapm.4c00849,R missing,,
79,10.1021/acsami.8b16529,R reported,0.0092,-2.036212172654445
80,10.1016/j.carbon.2024.119008,R reported,0.017,-1.769551078621726
81,10.1016/j.surfin.2023.102853,R reported,0.0047,-2.3279021420642825
82,10.1002/smll.202306318,R reported,0.0031,-2.508638306165728
83,10.1016/j.carbon.2023.118687,R reported,0.00034,-3.4685210829577446
84,10.1039/d5cc02475g,R missing,,
85,10.1039/d3ta03468b,R missing,,
86,10.1002/anie.201602708,R reported,42.2,1.625312450961674
