Voc_V,Jsc_uA_cm2,P_reported_uW_cm2,P_est_uW_cm2,log_P_est,log_P_reported,log_Voc,log_Jsc,mechanism,structure,ion,delta_logP_est_minus_reported
1.0,0.015,0.0053,0.00375,-2.425852935849277,-2.275724130399211,0.0,-1.8239087409443189,streaming,porous,proton,-0.15012880545006624
0.4,0.02,0.002,0.002,-2.6987529113637887,-2.6989700043360187,-0.3979400086720376,-1.6989700043360187,streaming,porous,anion,0.00021709297223004853
1.5,0.025,0.0094,0.009375,-2.0279824013259846,-2.0268721464003012,0.17609125905568124,-1.6020599913279623,streaming,porous,anion,-0.001110254925683396
0.85,0.0368,,0.0078199999999999,-2.106737714112009,,-0.07058107428570728,-1.4341521813264824,streaming,porous,proton,
0.16,0.04,,0.0016,-2.7956086680807,,-0.7958800173440752,-1.3979400086720375,streaming,porous,proton,
0.25,0.05,0.0045,0.003125,-2.505011026316832,-2.3467874862246565,-0.6020599913279624,-1.3010299956639813,ion_gradient,porous,proton,-0.15822354009217543
5.0,0.06,,0.075,-1.1249329460538116,,0.6989700043360189,-1.2218487496163564,streaming,porous,proton,
1.0,0.1,,0.025,-1.6020426198961126,,0.0,-1.0,streaming,porous,proton,
0.6,0.12,0.00156,0.018,-1.7447033680956598,-2.8068754016455384,-0.2218487496163564,-0.9208187539523752,streaming,porous,proton,1.0621720335498785
0.19,0.12,,0.0057,-2.244048958995868,,-0.721246399047171,-0.9208187539523752,streaming,porous,proton,
4.82,0.13,,0.15665,-0.8050668284037524,,0.6830470382388496,-0.8860566476931632,streaming,film,proton,
1.4,0.133,0.0467,0.04655,-1.3320709851484356,-1.330683119433888,0.146128035678238,-0.8761483590329142,streaming,porous,proton,-0.0013878657145476314
0.79,0.133,0.08,0.0262675,-1.580564725855803,-1.0969100130080565,-0.10237290870955855,-0.8761483590329142,streaming,porous,proton,-0.48365471284774664
1.6,0.17,,0.068,-1.1674847006571667,,0.2041199826559248,-0.769551078621726,streaming,porous,proton,
2.5,0.18,,0.1124999999999999,-0.9488436171743811,,0.3979400086720376,-0.744727494896694,streaming,porous,proton,
0.16,0.2,0.00824,0.008,-2.096855729590461,-2.0840727883028842,-0.7958800173440752,-0.6989700043360187,streaming,porous,proton,-0.012782941287576843
0.89,0.2,0.04,0.0445,-1.3516302297021636,-1.3979400086720375,-0.05060999335508721,-0.6989700043360187,streaming,porous,proton,0.04630977896987387
0.44,0.2,0.022,0.022,-1.6575575789681631,-1.6575773191777938,-0.3565473235138126,-0.6989700043360187,streaming,porous,proton,1.9740209630692007e-05
1.35,0.223,,0.0752625,-1.1234155894264268,,0.13033376849500614,-0.6516951369518393,streaming,porous,proton,
0.8,0.055,0.0031,0.011,-1.9585678353197349,-2.5086383061657274,-0.09691001300805639,-1.2596373105057561,ion_gradient,porous,other_cation,0.5500704708459925
1.0,0.3,0.08,0.075,-1.1249329460538116,-1.0969100130080565,0.0,-0.5228787452803376,streaming,porous,proton,-0.028022933045755094
0.3,0.4,0.018,0.03,-1.5228642690388767,-1.744727494896694,-0.5228787452803376,-0.3979400086720376,streaming,porous,proton,0.22186322585781726
1.2,0.475,,0.1425,-0.8461820879855898,,0.07918124604762482,-0.3233063903751334,streaming,porous,proton,
0.284,0.485,0.083,0.0344349999999999,-1.4629873008541796,-1.080921907623926,-0.5466816599529624,-0.3142582613977364,streaming,porous,proton,-0.38206539323025357
1.63,0.49,0.15,0.199675,-0.6996741318941417,-0.8239087409443188,0.21218760440395779,-0.3098039199714863,streaming,porous,anion,0.12423460905017703
1.2,0.5,,0.15,-0.8239058456574236,,0.07918124604762482,-0.3010299956639812,streaming,porous,proton,
0.42,0.528,0.018,0.05544,-1.2561689448723472,-1.744727494896694,-0.37675070960209955,-0.27736607746618774,streaming,porous,proton,0.4885585500243468
0.315,0.7,,0.0551249999999999,-1.2586435192376149,,-0.5016894462103995,-0.1549019599857432,streaming,film,proton,
0.5,0.71,0.035,0.08875,-1.051826744841486,-1.4559319556497243,-0.3010299956639812,-0.14874165128092473,streaming,porous,proton,0.40410521080823836
0.27,0.93,0.063,0.062775,-1.2022063603988264,-1.2006594505464183,-0.5686362358410126,-0.03151705144606486,ion_gradient,porous,anion,-0.0015469098524081293
0.316,0.997,,0.078763,-1.1036722364925795,,-0.5003129173815962,-0.0013048416883442813,streaming,porous,proton,
0.4,1.0,0.055,0.1,-0.9999956570768956,-1.2596373105057561,-0.3979400086720376,0.0,streaming,hydrogel,proton,0.2596416534288605
0.3,1.2,0.18,0.09,-1.0457526650932398,-0.744727494896694,-0.5228787452803376,0.07918124604762482,streaming,porous,proton,-0.30102517019654584
0.4,1.2,,0.12,-0.9208151348467722,,-0.3979400086720376,0.07918124604762482,streaming,porous,proton,
0.27,1.2,0.324,0.081,-1.0915096194941762,-0.48945498979338786,-0.5686362358410126,0.07918124604762482,streaming,porous,proton,-0.6020546297007884
0.7,1.3,,0.2274999999999999,-0.6430166900243307,,-0.1549019599857432,0.11394335230683679,streaming,porous,anion,
2.05,1.9,,0.97375,-0.0115520833175728,,0.31175386105575426,0.2787536009528289,streaming,porous,proton,
0.75,10.0,1.7,1.875,0.2730015036873995,0.2304489213782739,-0.12493873660829995,1.0,streaming,porous,proton,0.04255258230912559
0.25,2.25,0.14,0.140625,-0.8519343762392272,-0.8538719643217619,-0.6020599913279624,0.3521825181113625,ion_gradient,porous,other_cation,0.001937588082534747
4.3,2.9,1.0,3.1175,0.4938066014591326,0.0,0.6334684555795865,0.4623979978989561,streaming,porous,proton,0.4938066014591326
