log_R,ion_type,structure,electrolyte,specific_ion
0.9030899869919436,proton,porous,without electrolyte,H+
1.5352941200427703,anion,porous,without electrolyte,OH-
1.7781512503836436,anion,porous,without electrolyte,OH-
0.3010299956639812,proton,porous,without electrolyte,H+
0.3010299956639812,proton,porous,without electrolyte,H+
0.3222192947339193,proton,porous,without electrolyte,H+
0.7781512503836436,proton,porous,without electrolyte,H+
-0.1549019599857432,proton,porous,without electrolyte,H+
0.380211241711606,proton,porous,without electrolyte,H+
0.0791812460476248,proton,porous,without electrolyte,H+
0.3010299956639812,other_cation,porous,with electrolyte,Na+
0.1760912590556812,proton,porous,without electrolyte,H+
-1.0,proton,porous,without electrolyte,H+
2.8609366207000937,proton,porous,without electrolyte,H+
-1.6989700043360187,proton,porous,without electrolyte,H+
0.0,proton,porous,without electrolyte,H+
-1.0,proton,porous,without electrolyte,H+
-1.7212463990471711,anion,porous,with electrolyte,Cl-
0.0,proton,porous,without electrolyte,H+
-2.285670240254767,proton,hydrogel,without electrolyte,H+
-0.8538719643217619,proton,porous,without electrolyte,H+
-0.5686362358410126,anion,porous,without electrolyte,OH-
0.041392685158225,proton,porous,without electrolyte,H+
-2.3010299956639813,proton,porous,without electrolyte,H+
-1.0,other_cation,porous,with electrolyte,Na+
-1.3010299956639813,proton,porous,without electrolyte,H+
-1.1249387366083,proton,film,without electrolyte,H+
-0.6989700043360187,other_cation,porous,with electrolyte,Na+
-1.6989700043360187,proton,porous,without electrolyte,H+
-1.0,other_cation,porous,with electrolyte,Na+
-0.1249387366082999,proton,porous,without electrolyte,H+
-0.0969100130080563,other_cation,porous,with electrolyte,Na+
0.0,other_cation,porous,with electrolyte,Na+
-1.275724130399211,other_cation,porous,with electrolyte,Ca2+
-0.3010299956639812,other_cation,porous,with electrolyte,Na+
-2.0,other_cation,porous,with electrolyte,Na+
0.4771212547196624,proton,porous,without electrolyte,H+
-2.3010299956639813,other_cation,porous,with electrolyte,Na+
-0.0457574905606751,other_cation,porous,with electrolyte,Na+
0.9030899869919436,other_cation,porous,with electrolyte,Ca2+
-1.3010299956639813,other_cation,porous,with electrolyte,Na+
-1.3187587626244128,other_cation,porous,with electrolyte,K+
-0.3187587626244128,proton,porous,without electrolyte,H+
-2.0,other_cation,porous,with electrolyte,Na+
-2.5228787452803374,other_cation,porous,with electrolyte,Na+
1.0,proton,porous,without electrolyte,H+
-1.3979400086720375,other_cation,porous,with electrolyte,Na+
-2.0,anion,film,with electrolyte,Cl-
-1.6575773191777938,other_cation,porous,with electrolyte,Na+
-0.585026652029182,other_cation,porous,with electrolyte,Na+
0.3010299956639812,anion,porous,without electrolyte,OH-
0.6989700043360189,proton,porous,without electrolyte,H+
3.0,proton,porous,without electrolyte,H+
-1.0,proton,porous,without electrolyte,H+
-2.036212172654445,other_cation,porous,with electrolyte,Na+
-1.769551078621726,proton,porous,with electrolyte,H+
-2.3279021420642825,other_cation,porous,with electrolyte,Ca2+
-2.508638306165728,other_cation,porous,with electrolyte,Na+
-3.4685210829577446,other_cation,porous,with electrolyte,Fe3+
1.625312450961674,proton,porous,without electrolyte,H+
